DateTime,Entries,UniqueIPs
1581988574,63379,63379
1581990512,60123,60123
1581992408,58481,58481
1581994327,59560,59560
1581996274,57909,57909
1581998172,55921,55921
1582000092,53626,53626
1582002988,49911,49911
1582004912,47088,47088
1582006808,44647,44647
1582008730,41299,41299
1582010671,40903,40903
1582012593,40753,40753
1582014493,40706,40706
1582016459,40534,40534
1582018332,40541,40541
1582020498,39971,39971
1582022415,39347,39347
1582024355,38711,38711
1582026252,38182,38182
1582028430,37518,37518
1582030328,36722,36722
1582032273,35892,35892
1582034168,35164,35164
1582036087,34984,34984
1582038061,35057,35057
1582039947,35180,35180
1582042102,35300,35300
1582044011,39516,39516
1582045949,41075,41075
1582047850,41121,41121
1582049777,40971,40971
1582051714,40965,40965
1582053612,40984,40984
1582055528,41001,41001
1582057464,40985,40985
1582059367,40966,40966
1582061303,41021,41021
1582064427,41076,41076
1582066351,41088,41088
1582068263,41161,41161
1582070166,41137,41137
1582072103,41113,41113
1582074970,41112,41112
1582076908,41087,41087
1582078808,40502,40502
1582080726,36522,36522
1582082675,35785,35785
1582084572,35773,35773
1582086487,35801,35801
1582088455,35805,35805
1582090332,35801,35801
1582092276,35834,35834
1582094185,35827,35827
1582096101,35823,35823
1582098018,35810,35810
1582099952,35720,35720
1582101856,35418,35418
1582103801,35232,35232
1582105694,35064,35064
1582107640,34767,34767
1582109544,34618,34618
1582111464,34208,34208
1582113390,33468,33468
1582115294,32446,32446
1582117233,32152,32152
1582119157,31885,31885
1582121334,31830,31830
1582123217,31777,31777
1582125135,31557,31557
1582127069,31224,31224
1582128971,30423,30423
1582130893,25649,25649
1582132829,25327,25327
1582134728,25341,25341
1582136650,25406,25406
1582138585,25205,25205
1582140487,25137,25137
1582142436,24632,24632
1582144349,24514,24514
1582146519,24510,24510
1582148414,24533,24533
1582150583,24421,24421
1582152516,24685,24685
1582154418,24713,24713
1582156329,24787,24787
1582158267,24814,24814
1582160168,24806,24806
1582162088,24822,24822
1582164043,24767,24767
1582165935,24786,24786
1582167896,24687,24687
1582169772,24702,24702
1582171712,24686,24686
1582173652,24666,24666
1582175535,24684,24684
1582177469,24686,24686
1582179374,24643,24643
1582181295,25016,25016
1582183230,25105,25105
1582185138,25077,25077
1582187050,25040,25040
1582188984,24887,24887
1582190890,25158,25158
1582192855,25223,25223
1582194752,25234,25234
1582196674,25223,25223
1582198572,25244,25244
1582200508,25263,25263
1582202423,25217,25217
1582204332,25201,25201
1582206267,25167,25167
1582208172,25129,25129
1582210095,25025,25025
1582212024,24900,24900
1582213931,24760,24760
1582215850,24705,24705
1582217787,24773,24773
1582219687,25195,25195
1582221654,26300,26300
1582223544,27525,27525
1582226413,28749,28749
1582228330,28708,28708
1582230288,28676,28676
1582232173,28728,28728
1582234089,28860,28860
1582236969,28930,28930
1582238905,28958,28958
1582240807,28935,28935
1582242726,28898,28898
1582244668,28892,28892
1582246568,28888,28888
1582248500,28866,28866
1582250438,28884,28884
1582252330,28860,28860
1582254500,28845,28845
1582256412,28830,28830
1582258594,28838,28838
1582260494,28854,28854
1582262417,28810,28810
1582264341,28820,28820
1582266274,28615,28615
1582268184,27469,27469
1582270090,26779,26779
1582272975,25765,25765
1582274948,25042,25042
1582276809,24315,24315
1582278735,24021,24021
1582280667,24074,24074
1582282581,24073,24073
1582284490,24058,24058
1582287387,24006,24006
1582289311,24043,24043
1582291207,24023,24023
1582293131,24024,24024
1582295085,24032,24032
1582296968,24039,24039
1582298895,24059,24059
1582300955,24105,24105
1582303003,24042,24042
1582304901,24078,24078
1582306813,22951,22951
1582308750,21599,21599
1582310652,19777,19777
