DateTime,AddedIPs,RemovedIPs
1581986910,1,14
1581988809,1,8
1581990763,0,8
1581992671,1,9
1581994567,4,8
1581996496,5,11
1581999375,21,16
1582001315,18,15
1582003223,17,6
1582005127,12,9
1582007075,21,9
1582008969,17,11
1582010893,20,9
1582012872,19,7
1582014740,23,7
1582016688,24,3
1582018597,15,3
1582020499,13,1
1582022417,13,7
1582024356,12,8
1582026254,9,8
1582028432,19,6
1582030330,14,6
1582032276,18,5
1582034170,13,5
1582036089,10,0
1582038161,4,7
1582040189,10,16
1582042106,10,4
1582044013,15,14
1582045951,18,6
1582047852,12,11
1582049782,15,14
1582051719,11,9
1582053617,10,8
1582055534,15,2
1582057470,10,5
1582059373,10,6
1582061308,14,3
1582064432,17,8
1582066389,16,2
1582068269,52,5
1582070172,21,3
1582072151,12,3
1582074195,9,0
1582076188,15,2
1582078092,19,0
1582080012,16,2
1582081947,15,3
1582083857,7,5
1582085789,15,8
1582087708,13,16
1582089610,15,12
1582091528,12,13
1582093468,14,14
1582095369,24,9
1582097289,30,11
1582099360,22,12
1582101386,20,17
1582103303,18,12
1582105232,13,9
1582107138,13,10
1582109060,9,10
1582110977,24,7
1582112908,28,9
1582114825,24,11
1582116734,25,8
1582118656,12,12
1582120618,15,11
1582122523,7,10
1582125379,10,3
1582127295,16,9
1582129299,10,4
1582131139,10,10
1582133063,10,3
1582134987,10,8
1582136893,8,7
1582139777,15,10
1582141706,0,7
1582143655,3,6
1582145529,5,3
1582147452,0,4
1582149384,4,4
1582151551,1,3
1582153528,9,8
1582155391,12,21
1582157301,5,24
1582159215,1,8
1582161148,6,10
1582163057,4,6
1582164984,1,14
1582166897,1,17
1582168813,19,17
1582170801,7,18
1582172654,24,23
1582174587,29,16
1582176489,17,22
1582178521,21,22
1582180349,12,24
1582182293,18,34
1582184197,9,18
1582186126,19,23
1582188016,16,22
1582189936,11,16
1582191869,14,7
1582193817,9,4
1582195696,8,4
1582197634,23,28
1582199539,29,20
1582201459,14,16
1582203387,21,22
1582205293,17,11
1582208176,22,6
1582210098,9,8
1582212051,3,8
1582213934,3,13
1582215853,2,13
1582217792,4,11
1582219690,1,10
1582221735,5,12
1582223547,1,9
1582225533,4,16
1582227387,2,1
1582229301,3,3
1582231221,1,5
1582233147,5,3
1582235051,2,2
1582236972,3,1
1582238908,5,1
1582240822,12,11
1582242729,7,10
1582244671,5,0
1582246572,10,3
1582248509,10,2
1582251386,8,4
1582253309,6,2
1582255216,7,16
1582257144,5,7
1582259054,8,27
1582260972,3,32
1582262913,7,20
1582265804,13,35
1582267715,7,22
1582269615,4,18
1582271531,11,16
1582273475,9,18
1582275371,9,9
1582277296,7,8
1582279361,6,16
1582281391,3,11
1582283302,22,42
1582285211,13,26
1582287160,8,25
