DateTime,AddedIPs,RemovedIPs
1581946093,7,3
1581948217,3,10
1581950171,6,9
1581952131,3,5
1581954018,5,9
1581955967,2,2
1581957862,4,5
1581959778,2,2
1581961720,3,7
1581963628,1,3
1581965533,1,3
1581967476,4,4
1581969394,4,5
1581971293,5,8
1581973436,5,9
1581975372,3,4
1581977347,7,2
1581979214,4,5
1581981138,5,2
1581983074,4,7
1581984973,3,0
1581986913,1,4
1581988811,2,1
1581990764,2,5
1581992674,5,6
1581994568,6,3
1581996498,3,4
1581999378,8,7
1582001339,5,4
1582003225,6,3
1582005129,2,3
1582007077,3,4
1582008971,7,5
1582010894,8,2
1582012931,2,3
1582014742,4,6
1582016692,1,3
1582018600,4,5
1582020502,4,58
1582022419,4,4
1582024358,3,3
1582026256,5,7
1582028434,7,9
1582030332,3,2
1582032278,2,5
1582034173,5,5
1582036092,6,4
1582038272,4,4
1582040191,7,5
1582042110,4,2
1582044015,3,5
1582045952,3,2
1582047854,10,3
1582049784,1,1
1582051722,3,1
1582053619,4,3
1582055536,3,5
1582057472,5,5
1582059375,7,2
1582061311,5,5
1582064435,5,8
1582066391,5,8
1582068271,2,2
1582070203,1,3
1582072153,3,3
1582074279,2,2
1582076190,2,3
1582078112,2,4
1582080014,3,7
1582081950,3,1
1582083860,0,6
1582085791,2,5
1582087711,1,4
1582089613,3,6
1582091531,1,2
1582093470,1,3
1582095371,4,7
1582097291,3,8
1582099384,6,2
1582101389,2,4
1582103305,3,1
1582105234,2,5
1582107140,4,3
1582109063,2,4
1582110980,2,3
1582112910,3,6
1582114827,7,6
1582116736,0,3
1582118659,3,2
1582120621,0,5
1582122528,1,6
1582125380,2,5
1582127298,1,9
1582129301,1,2
1582131141,3,2
1582133065,8,6
1582134990,1,7
1582136896,2,1
1582138987,5,5
1582141236,7,2
1582143136,4,5
1582145069,4,5
1582146987,1,7
1582149147,0,4
1582151178,3,3
1582152987,4,6
1582154890,2,2
1582158007,5,3
1582159948,2,1
1582161866,3,3
1582163772,2,1
1582165980,3,4
1582167960,2,3
1582169776,3,0
1582171718,2,2
1582173657,2,1
1582175538,1,1
1582177473,3,3
1582179377,4,0
1582181299,1,3
1582183274,2,5
1582185142,0,3
1582187054,2,4
1582188990,3,1
1582190896,0,4
1582193128,1,3
1582194973,0,3
1582196907,2,1
1582198834,5,4
1582200740,2,4
1582202675,2,2
1582204640,2,3
1582206496,2,0
1582208430,0,1
1582210329,0,1
1582212251,1,2
1582214186,2,0
1582216096,1,1
1582219229,0,10
1582221134,1,2
1582223078,2,3
1582224984,0,4
1582226924,2,5
1582228970,1,7
1582230990,1,4
1582232899,3,1
1582234813,4,0
1582236750,0,2
1582238679,0,3
1582240575,0,2
1582242513,2,2
1582244434,1,4
1582246335,1,2
1582248272,0,3
1582250174,1,2
1582252087,1,3
1582254127,1,2
1582255934,0,2
1582257772,2,3
1582259770,1,1
1582261952,1,2
1582263898,2,3
1582265807,2,4
1582267716,0,1
1582269617,1,2
1582273477,2,2
1582275372,1,3
1582277298,1,0
1582279398,0,1
1582281392,1,0
1582283303,0,2
1582285213,3,5
1582287161,2,2
1582289057,2,2
1582291028,2,1
1582292930,2,2
1582294814,2,0
1582296730,2,0
1582298671,0,1
1582300569,0,2
1582302492,1,1
1582304559,4,0
1582306586,0,1
1582308512,2,0
1582310414,3,2
1582312349,1,2
1582314255,1,1
1582316175,1,1
1582318124,1,3
1582320987,0,3
1582322905,3,2
1582324838,1,0
1582326751,4,0
1582328655,4,2
1582330573,0,1
1582332510,2,1
1582334413,2,0
1582336331,1,1
1582338269,0,1
1582342094,2,1
1582344196,2,2
1582346206,1,1
1582348105,1,2
1582350014,1,1
1582351992,1,3
1582353855,1,0
1582355775,3,1
1582359622,1,1
1582361529,0,2
1582363453,3,1
1582365371,2,0
1582367292,2,1
1582369455,3,0
1582371387,3,2
1582373309,2,2
1582375212,0,2
1582377135,7,1
1582379068,2,3
1582380969,2,1
1582382893,3,3
1582384822,1,1
1582386747,5,0
1582388649,2,0
1582390582,2,5
1582392490,0,1
1582395378,5,2
1582397293,3,3
1582399222,6,0
1582401128,2,2
1582403050,1,1
1582404984,4,1
1582406891,5,0
1582408880,0,3
1582410750,1,1
1582412768,0,1
1582414587,1,3
1582416495,1,1
1582418414,3,2
1582420349,2,1
1582422256,1,0
1582424172,2,1
1582426109,1,0
1582428013,0,2
1582429955,1,0
1582431863,2,2
1582433768,0,1
1582435687,3,1
1582438578,2,1
1582440512,1,3
1582442419,1,1
1582444331,2,0
1582446266,0,1
1582448171,1,0
1582450089,2,4
1582452196,2,2
1582456102,0,3
1582458073,1,2
1582459975,2,1
1582461856,1,2
1582463779,2,6
1582465711,0,1
1582467612,3,2
1582469533,2,2
1582471512,2,1
1582473380,2,5
1582475296,2,4
1582477305,2,3
1582480972,5,3
1582482989,2,1
1582484902,1,3
1582486812,0,6
1582488747,2,3
1582490656,1,3
1582492577,2,4
1582494509,0,4
1582496415,2,1
1582498352,3,1
1582500266,1,1
1582502171,3,2
1582504090,0,1
1582506134,1,3
1582507934,2,1
1582509914,1,3
1582511789,2,1
1582513705,1,0
1582515616,2,2
1582517551,1,0
1582519460,0,2
1582521374,3,0
1582523312,0,2
1582525214,1,2
1582527141,1,1
1582529069,1,1
1582530976,1,2
1582535779,1,2
1582537733,3,3
1582539641,3,0
1582541535,0,1
1582545375,2,1
1582547295,4,2
1582550178,1,3
1582552161,2,0
1582554048,2,3
1582555946,0,3
1582557858,2,2
1582559794,0,1
1582561694,2,2
1582564579,1,2
1582566497,3,2
1582568432,0,3
1582570356,1,3
1582572274,3,0
1582574175,1,0
1582576093,3,1
1582578196,5,2
1582580187,1,1
1582582115,0,3
1582584017,1,2
1582585960,1,2
1582587877,0,3
1582591723,0,1
1582593614,4,2
1582595537,0,2
1582597473,1,3
1582599373,0,1
1582601302,0,1
1582603474,2,2
1582607295,2,3
1582609216,2,0
1582611149,0,1
1582613054,2,0
1582614973,3,2
1582616907,1,1
1582620735,2,1
1582622666,2,0
1582624610,1,4
1582626494,1,2
1582628608,1,0
1582630584,2,2
1582634410,2,3
1582636357,1,1
1582638258,0,2
1582640419,0,2
1582644275,0,2
1582646172,1,1
1582648119,2,2
1582650110,1,0
1582651949,3,2
1582653877,1,1
1582655786,1,1
1582657716,1,2
1582659613,1,3
1582661784,1,2
1582663713,1,2
1582665621,0,3
1582667570,4,1
1582669454,0,1
1582671380,2,1
1582673292,1,0
1582676175,1,0
1582678107,1,0
1582680014,3,3
1582683866,1,1
1582685770,1,0
1582687692,2,0
1582689773,1,2
1582691784,0,1
1582693701,3,2
1582695627,1,2
1582697532,2,0
1582699457,2,2
1582701393,0,3
1582703293,0,1
1582705225,1,0
1582707134,2,3
1582709049,3,2
1582710983,1,2
1582712927,1,1
1582715774,2,1
1582717695,4,2
1582719685,0,1
1582721550,1,2
1582723464,1,0
1582729381,1,0
1582731373,2,0
1582733290,1,2
1582735231,1,2
1582737187,0,1
1582739069,3,3
1582740974,2,0
1582742894,1,2
1582744823,1,1
1582748661,2,1
1582750583,0,1
1582752488,1,1
1582754480,2,3
1582756347,1,2
1582758194,1,0
1582760176,2,1
1582762103,0,1
1582766183,1,4
1582768107,3,0
1582770012,0,1
1582771932,0,1
1582773864,1,1
1582775772,0,1
1582777693,2,1
1582780572,1,3
1582782510,0,2
1582784409,1,2
1582786329,2,1
1582790167,2,0
1582792090,0,2
1582795023,2,2
1582796904,3,3
1582798808,2,1
1582800727,0,1
1582802667,5,1
1582804580,1,4
1582806489,6,0
1582808600,2,1
1582810589,1,1
1582812498,2,0
1582814442,3,0
1582816638,2,1
1582818497,0,3
1582820424,1,0
1582822334,1,1
1582824256,0,2
1582826183,2,1
1582828090,2,2
1582830981,3,2
1582832893,2,0
1582834825,2,2
1582836751,6,0
1582838652,2,1
1582840608,1,2
1582842493,1,0
1582845626,4,2
1582847535,2,2
1582849450,3,0
1582853286,0,3
1582855321,1,0
1582857145,3,0
1582859021,1,1
1582860973,3,1
1582864822,0,2
1582866750,1,1
1582868655,2,0
1582870585,1,1
1582872495,3,2
1582874411,2,0
1582876349,0,2
1582880188,0,1
1582882094,1,2
1582885004,3,4
1582888827,2,4
1582890766,0,2
1582892654,2,4
1582894617,1,4
1582896494,4,0
1582898647,2,2
1582900570,2,3
1582902527,0,3
1582904455,1,0
1582906337,1,1
1582908278,3,1
1582910260,5,0
1582912097,1,1
1582914025,3,3
1582915929,3,1
1582917855,1,1
1582919804,1,2
1582921722,2,2
1582923733,2,5
1582925549,1,0
1582927499,1,2
1582929374,1,1
1582931317,0,3
1582933226,4,1
1582935144,1,2
1582937065,1,1
1582940894,2,1
1582942822,3,2
1582944731,0,1
1582946658,1,3
1582948597,2,1
1582950494,1,0
1582952544,1,0
1582954361,0,3
1582956314,2,1
1582958192,1,3
1582960109,0,3
1582962034,3,0
1582963940,1,0
1582965867,1,0
1582967775,0,1
1582969716,0,1
1582971630,3,2
1582975472,0,2
