DateTime,Entries,UniqueIPs
1581895230,310,310
1581897130,312,312
1581899056,311,311
1581901004,311,311
1581902905,313,313
1581905776,316,316
1581907693,312,312
1581909623,313,313
1581911535,315,315
1581913454,315,315
1581915407,315,315
1581917291,318,318
1581919275,316,316
1581921150,322,322
1581923162,318,318
1581924997,320,320
1581926907,318,318
1581928815,316,316
1581930768,309,309
1581932667,312,312
1581934576,317,317
1581936498,323,323
1581938428,323,323
1581940331,321,321
1581942255,323,323
1581944192,325,325
1581946093,320,320
1581948210,321,321
1581950171,322,322
1581952131,324,324
1581954018,326,326
1581955966,329,329
1581957861,325,325
1581959778,323,323
1581961719,324,324
1581963627,322,322
1581965532,323,323
1581967475,325,325
1581969393,321,321
1581971293,323,323
1581973422,320,320
1581975371,315,315
1581977347,305,305
1581979214,298,298
1581981137,302,302
1581983073,301,301
1581984973,300,300
1581986913,302,302
1581988811,299,299
1581990764,300,300
1581992673,292,292
1581994568,284,284
1581996498,283,283
1581999377,285,285
1582001339,281,281
1582003224,279,279
1582005129,281,281
1582007076,282,282
1582008970,279,279
1582010894,277,277
1582012914,278,278
1582014742,280,280
1582016692,282,282
1582018600,276,276
1582020501,276,276
1582022419,271,271
1582024357,272,272
1582026256,272,272
1582028434,269,269
1582030331,270,270
1582032278,270,270
1582034172,268,268
1582036091,268,268
1582038227,266,266
1582040191,263,263
1582042109,259,259
1582044014,259,259
1582045952,261,261
1582047854,260,260
1582049783,261,261
1582051721,264,264
1582053619,269,269
1582055535,270,270
1582057472,269,269
1582059374,269,269
1582061310,272,272
1582064434,271,271
1582066391,268,268
1582068271,264,264
1582070203,264,264
1582072152,262,262
1582074267,261,261
1582076189,258,258
1582078112,260,260
1582080014,261,261
1582081949,259,259
1582083859,257,257
1582085791,255,255
1582087710,257,257
1582089613,255,255
1582091531,253,253
1582093470,256,256
1582095371,261,261
1582097291,266,266
1582099382,265,265
1582101388,265,265
1582103304,267,267
1582105234,268,268
1582107140,270,270
1582109062,273,273
1582110980,275,275
1582112910,275,275
1582114827,277,277
1582116736,276,276
1582118658,277,277
1582120620,281,281
1582122527,282,282
1582125380,288,288
1582127297,288,288
1582129300,294,294
1582131140,294,294
1582133065,295,295
1582134990,296,296
1582136895,298,298
1582138967,299,299
1582140779,297,297
1582142696,299,299
1582144571,299,299
1582146523,302,302
1582148418,308,308
1582150604,316,316
1582152523,317,317
1582154423,316,316
1582156334,321,321
1582158273,323,323
1582160173,335,335
1582162156,339,339
1582164217,338,338
1582166433,339,339
1582168341,341,341
1582170253,339,339
1582172176,337,337
1582174100,332,332
1582176028,333,333
1582177937,332,332
1582179872,329,329
1582181806,326,326
1582183694,322,322
1582185738,320,320
1582187548,318,318
1582189475,314,314
1582191370,313,313
1582193347,309,309
1582195217,303,303
1582197136,300,300
1582200987,300,300
1582202906,298,298
1582204824,297,297
1582206731,296,296
1582208650,293,293
1582210583,287,287
1582212518,291,291
1582214481,289,289
1582216346,283,283
1582218517,280,280
1582220413,277,277
1582222588,273,273
1582224494,263,263
1582226416,258,258
1582228340,259,259
1582230293,252,252
1582232176,245,245
1582234091,240,240
1582236973,227,227
1582238909,208,208
1582240823,198,198
1582242731,182,182
1582244673,162,162
1582246575,144,144
1582248512,127,127
1582250499,114,114
1582252334,100,100
1582254502,83,83
1582256414,77,77
1582258598,74,74
1582260497,73,73
1582262420,73,73
1582268186,74,74
1582272139,72,72
1582274190,71,71
1582278037,70,70
1582279963,70,70
1582281867,69,69
1582283786,70,70
1582287610,69,69
1582289532,69,69
1582291468,68,68
1582293369,69,69
1582295289,70,70
1582298172,69,69
1582300112,62,62
1582303933,60,60
1582305866,59,59
1582307822,61,61
1582309690,59,59
1582311722,58,58
1582313538,56,56
1582315392,55,55
1582317385,56,56
1582320269,57,57
1582322177,56,56
1582324093,57,57
1582326976,58,58
1582328908,59,59
1582330810,60,60
1582336570,60,60
1582338489,62,62
