DateTime,Entries,UniqueIPs
1581792745,120,120
1581794694,117,117
1581796593,116,116
1581798502,114,114
1581800639,112,112
1581802455,107,107
1581804517,107,107
1581806417,106,106
1581808365,108,108
1581810269,110,110
1581812191,107,107
1581814114,103,103
1581816012,102,102
1581817931,102,102
1581819953,101,101
1581821772,101,101
1581823728,101,101
1581825768,100,100
1581827668,99,99
1581829712,101,101
1581831622,227,227
1581833548,775,775
1581835466,1069,1069
1581837404,1065,1065
1581839300,1064,1064
1581841240,1065,1065
1581843152,1066,1066
1581845060,1063,1063
1581846990,1065,1065
1581848894,1065,1065
1581851034,1066,1066
1581854907,1069,1069
1581856814,1070,1070
1581860670,1071,1071
1581862574,1072,1072
1581864744,1074,1074
1581866657,1076,1076
1581868596,1080,1080
1581870506,1081,1081
1581872502,1082,1082
1581874369,1084,1084
1581876271,1085,1085
1581878171,1082,1082
1581880125,1081,1081
1581882014,1083,1083
1581883935,1084,1084
1581885868,1084,1084
1581887791,1084,1084
1581889942,1087,1087
1581891860,1088,1088
1581893788,1090,1090
1581895692,1092,1092
1581897850,1091,1091
1581899771,1092,1092
1581901710,1093,1093
1581903613,1091,1091
1581905549,1090,1090
1581907467,1091,1091
1581909393,1090,1090
1581911314,1088,1088
1581913227,1088,1088
1581917058,1084,1084
1581919015,1081,1081
1581920897,1080,1080
1581923173,1079,1079
1581924998,1080,1080
1581926908,1081,1081
1581928817,1080,1080
1581930769,1079,1079
1581932668,1076,1076
1581934578,1091,1091
1581936500,1090,1090
1581938430,1088,1088
1581940333,1089,1089
1581942257,1086,1086
1581946094,1087,1087
1581948239,1087,1087
1581950173,1087,1087
1581952133,1091,1091
1581954020,1089,1089
1581955995,1088,1088
1581957863,1089,1089
1581959779,1086,1086
1581961721,1084,1084
1581965534,1086,1086
1581967477,761,761
1581969395,92,92
1581971295,91,91
1581973474,91,91
1581975373,90,90
1581977350,83,83
1581979216,82,82
1581981139,77,77
1581983075,79,79
1581984974,78,78
1581986914,77,77
1581988813,76,76
1581990766,77,77
1581992675,78,78
1581994570,82,82
1581996500,81,81
1581999379,81,81
1582001341,83,83
1582005130,85,85
1582007078,87,87
1582008972,88,88
1582010896,89,89
1582012967,92,92
1582014994,93,93
1582016899,96,96
1582018815,96,96
1582020756,81,81
1582022652,84,84
1582026530,86,86
1582028435,86,86
1582030333,88,88
1582032279,86,86
1582034174,87,87
1582036093,85,85
1582038303,82,82
1582040193,81,81
1582042114,80,80
1582044017,80,80
1582045954,82,82
1582049785,83,83
1582051723,82,82
1582053620,83,83
1582055537,85,85
1582057474,84,84
1582059376,82,82
1582061312,81,81
1582064436,83,83
1582066393,84,84
1582068273,87,87
1582070205,87,87
1582072154,85,85
1582074287,85,85
1582076191,87,87
1582078114,86,86
1582080016,83,83
1582081951,80,80
1582083861,85,85
1582085793,86,86
1582087712,83,83
1582089617,84,84
1582091532,82,82
1582093472,81,81
1582095372,80,80
1582097292,82,82
