DateTime,Entries,UniqueIPs
1581986914,574,574
1581988815,568,568
1581990768,560,560
1581992675,1470,1470
1581994570,5661,5661
1581996500,6063,6063
1581999379,6065,6065
1582001341,6068,6068
1582003226,6080,6080
1582005131,6081,6081
1582007078,6092,6092
1582008972,6103,6103
1582010896,6120,6120
1582012977,6134,6134
1582014995,6152,6152
1582016900,6172,6172
1582018816,6186,6186
1582020756,6200,6200
1582022653,6207,6207
1582024572,6211,6211
1582026531,6208,6208
1582028436,6221,6221
1582030334,6232,6232
1582032280,6242,6242
1582034174,6252,6252
1582036093,6259,6259
1582038306,6252,6252
1582040193,6242,6242
1582042114,6245,6245
1582044018,6243,6243
1582045954,6258,6258
1582047857,6260,6260
1582049786,6253,6253
1582051724,6255,6255
1582053621,6262,6262
1582055538,6274,6274
1582057476,6283,6283
1582059377,6288,6288
1582061313,6302,6302
1582064437,6311,6311
1582066394,6321,6321
1582068273,6371,6371
1582070206,6382,6382
1582072155,6391,6391
1582074290,6398,6398
1582076192,6410,6410
1582078114,6428,6428
1582080016,3816,3816
1582081952,906,906
1582083861,917,917
1582085793,922,922
1582087712,925,925
1582089617,926,926
1582091532,928,928
1582093472,940,940
1582095383,949,949
1582097293,966,966
1582099390,977,977
1582101397,981,981
1582103309,985,985
1582105236,992,992
1582107142,993,993
1582109064,993,993
1582110982,1009,1009
1582112912,1027,1027
1582114829,1043,1043
1582116740,1061,1061
1582118672,1063,1063
1582120623,1065,1065
1582122532,1060,1060
1582124529,1066,1066
1582126353,1081,1081
1582128310,1082,1082
1582130180,1084,1084
1582132128,1085,1085
1582134022,1093,1093
1582135953,1091,1091
1582137869,1095,1095
1582139779,1098,1098
1582141708,1090,1090
1582143657,1085,1085
1582145531,1097,1097
1582147464,1096,1096
1582149387,1099,1099
1582151553,1095,1095
1582153540,1095,1095
1582155402,1088,1088
1582157321,1069,1069
1582159217,1059,1059
1582161150,1059,1059
1582163060,1049,1049
1582164990,1034,1034
1582166899,1016,1016
1582168817,1019,1019
1582170806,997,997
1582172657,998,998
1582174591,1007,1007
1582176492,1002,1002
1582179623,985,985
1582181529,977,977
1582183470,962,962
1582185387,956,956
1582187290,955,955
1582190425,950,950
1582192334,951,951
1582194294,960,960
1582196189,960,960
1582198090,964,964
1582200093,982,982
1582201964,982,982
1582203898,974,974
1582205793,986,986
1582207711,1003,1003
1582209612,1008,1008
1582211539,1003,1003
1582213465,995,995
1582215385,989,989
1582217295,982,982
1582219230,974,974
1582221136,967,967
1582223080,959,959
1582224986,945,945
1582226926,941,941
1582229000,946,946
1582230991,931,931
1582232900,926,926
1582234815,927,927
1582236752,928,928
1582238679,929,929
1582240577,931,931
1582242513,930,930
1582244435,935,935
1582246335,940,940
1582248273,952,952
1582250175,953,953
1582252091,958,958
1582254219,961,961
1582256184,952,952
1582258116,941,941
1582260034,927,927
1582261953,903,903
1582263901,893,893
1582265817,879,879
1582267718,859,859
1582269618,844,844
1582271546,833,833
1582273477,822,822
1582275372,819,819
1582277299,815,815
1582279477,813,813
1582281406,799,799
1582283303,782,782
1582285214,771,771
1582287161,741,741
1582289058,714,714
1582291933,701,701
1582294106,689,689
1582296018,678,678
1582297975,677,677
1582299861,682,682
1582301773,693,693
1582303714,699,699
1582305610,700,700
1582307548,706,706
1582309470,708,708
1582311388,711,711
1582313293,719,719
1582315456,719,719
1582317387,724,724
1582320269,723,723
1582322180,728,728
1582324094,738,738
1582326978,725,725
1582328910,718,718
1582330813,714,714
