DateTime,AddedIPs,RemovedIPs
1581561150,4,2
1581563424,3,2
1581565244,3,2
1581567240,1,1
1581569088,1,1
1581570993,3,2
1581572892,2,5
1581575064,4,2
1581576971,2,0
1581578893,0,1
1581580979,1,3
1581583067,0,4
1581584897,2,2
1581586829,1,1
1581588734,2,3
1581590655,2,1
1581592575,1,4
1581594492,5,1
1581596429,0,5
1581598339,1,0
1581600271,1,1
1581602174,3,1
1581604090,2,3
1581606109,3,4
1581607938,0,1
1581610105,3,0
1581612013,0,2
1581613957,1,2
1581615854,1,2
1581617774,0,4
1581619714,1,1
1581621612,3,2
1581623530,2,2
1581625452,1,3
1581627370,0,3
1581629290,0,2
1581631337,0,3
1581635324,0,2
1581637215,0,2
1581639143,0,1
1581641050,0,2
1581642993,0,1
1581644894,1,1
1581646809,1,5
1581650654,1,4
1581652574,0,3
1581656540,0,4
1581658359,0,2
1581660280,0,3
1581662185,0,2
1581664098,0,1
1581666024,0,1
1581667933,1,0
1581669859,1,0
1581671830,0,2
1581673697,2,2
1581675611,2,2
1581677531,1,1
1581679481,2,2
1581681386,2,4
1581683290,2,0
1581685342,10,1
1581687370,2,1
1581689299,1,4
1581691291,2,2
1581693405,0,2
1581695304,4,3
1581699150,1,1
1581701070,0,1
1581704897,3,0
1581706996,7,1
1581708981,4,3
1581710940,2,2
1581712820,0,1
1581714742,1,0
1581716671,3,0
1581718581,2,0
1581720762,3,0
1581722656,4,0
1581724591,1,0
1581726496,6,0
1581728573,2,0
1581730582,0,1
1581732523,3,1
1581734415,1,0
1581736358,1,1
1581738260,2,0
1581740179,2,0
1581744016,3,0
1581745933,3,0
1581747871,2,0
1581749778,2,0
1581751956,2,0
1581753914,2,0
1581755792,2,2
1581757708,4,0
1581759870,1,2
1581761798,4,2
1581763740,3,1
1581765618,2,2
1581767550,4,2
1581769471,1,2
1581771379,2,10
1581773299,1,2
1581775471,3,1
1581777387,1,2
1581781243,1,4
1581783188,1,0
1581785061,2,1
1581786981,5,0
1581788917,1,0
1581790843,0,1
1581792746,1,6
1581794694,2,6
1581796594,1,2
1581798502,2,1
1581800685,3,1
1581802834,2,3
1581804983,2,2
1581806897,0,2
1581808810,3,5
1581810734,1,1
1581812669,1,5
1581814572,2,3
1581818600,0,1
1581820586,3,3
1581822505,0,1
1581824438,0,1
1581826340,0,3
1581828293,1,0
1581830184,2,3
1581832098,2,2
1581834025,3,3
1581835932,0,2
1581837868,1,1
1581839785,2,2
1581841693,1,2
1581844823,8,5
1581846729,0,1
1581848650,3,5
1581850583,0,3
1581852488,2,3
1581855623,0,2
1581857558,0,2
1581859468,1,1
1581861384,1,2
1581863291,0,2
1581865270,1,0
1581867150,1,1
1581869080,0,1
1581870973,0,1
1581872916,1,5
1581874818,0,1
1581876732,0,1
1581878674,1,0
1581880575,1,3
1581882496,0,1
1581884424,1,2
1581886334,1,2
1581888257,3,2
1581890187,2,1
1581892089,0,2
1581895231,3,3
1581897131,0,1
1581899057,2,1
1581901005,3,2
1581902906,2,1
1581906755,1,3
1581908612,1,0
1581912504,4,0
1581914417,1,1
1581916333,1,1
1581918274,2,3
1581920176,3,3
1581924029,5,1
1581925958,4,2
1581927852,1,1
1581929788,2,4
1581931689,3,4
1581934578,4,2
1581936503,2,1
1581938431,1,0
1581940334,1,2
1581942259,1,0
1581946095,3,1
1581948307,2,1
1581950173,2,1
1581952134,2,0
1581954022,0,1
1581957872,2,1
1581959780,3,0
1581961722,3,0
1581963630,1,0
1581965535,1,2
1581969397,4,0
1581971296,5,1
1581973478,2,2
1581975375,1,2
1581977350,4,2
1581981140,0,2
1581983076,4,1
1581984975,0,2
1581986915,1,2
1581988815,2,3
1581990768,1,0
1581992676,0,1
1581994570,2,0
1581996500,3,1
1581998476,2,2
1582000355,0,3
1582002237,2,1
1582004194,3,2
1582006101,7,2
1582008011,1,1
1582009989,2,4
1582011856,1,5
1582013814,0,1
1582015716,3,2
1582017630,1,3
1582021475,2,4
1582023370,3,2
1582025541,2,1
1582027525,4,1
1582029423,6,1
1582031305,1,1
1582033215,1,2
1582035161,0,4
1582039089,2,2
1582040913,2,0
1582044996,4,4
1582046893,1,1
1582048941,2,4
1582050989,1,0
1582052904,3,1
1582056749,1,8
1582058650,4,2
1582060602,1,2
1582062494,2,0
1582064437,3,4
1582066394,2,0
1582068274,0,3
1582070206,4,1
1582072155,1,0
1582074316,1,1
1582076192,0,2
1582078115,0,1
1582080016,0,1
1582081952,2,3
1582083862,1,3
1582087713,1,2
1582091533,0,9
1582093472,0,2
1582095383,1,0
1582097293,2,2
1582099391,1,1
1582101397,1,1
1582103309,1,3
1582107142,2,0
1582109064,0,3
1582110982,0,2
1582112912,1,4
1582114829,1,3
1582116740,1,6
1582118672,0,1
1582120624,1,0
1582124542,2,1
1582126354,0,3
1582128311,1,0
1582130180,2,3
1582132129,0,2
1582134022,1,1
1582135954,0,1
1582137869,2,3
1582139779,0,1
1582141708,2,0
1582143658,1,2
1582145531,1,4
1582147465,1,0
1582149387,0,3
1582151554,0,3
1582153543,2,1
1582155402,2,1
1582157322,2,3
1582159218,1,2
1582161150,1,0
1582166899,1,0
1582168817,1,2
1582170807,1,1
1582172657,0,1
1582176492,1,0
1582182505,0,1
1582184452,0,2
1582186335,0,1
1582188269,0,1
1582190180,0,1
1582192149,1,1
1582194040,0,1
1582199785,1,2
1582203744,0,1
1582205549,1,0
1582207475,0,1
1582211306,0,2
1582215135,1,1
1582217065,0,2
1582220903,0,1
1582224729,0,2
1582226670,0,1
1582228570,1,1
1582230488,2,1
1582232519,0,1
1582234331,0,1
1582236306,1,0
1582240342,0,2
1582242260,0,3
1582244172,1,1
1582246109,0,1
1582248008,0,1
1582253770,0,1
1582255696,0,1
1582257807,0,1
1582263901,0,1
1582279487,0,1
1582285215,0,1
1582291064,1,1
1582296732,1,0
1582300570,0,1
1582308513,1,0
1582314257,0,1
1582316176,0,2
1582322922,0,1
1582324839,1,0
1582330574,0,1
1582334414,2,0
1582348119,1,0
1582361529,1,0
1582365372,1,0
1582373310,1,0
1582375214,1,0
1582379069,1,1
1582382896,1,0
1582384822,0,1
1582392491,1,0
1582395379,0,1
1582406893,1,0
1582408924,2,0
1582410751,0,1
1582416497,1,0
1582418415,1,0
1582420350,1,2
1582422257,1,0
1582426111,2,0
1582429957,2,0
1582433769,0,1
1582438580,1,0
1582440514,1,0
1582446267,1,0
1582448173,1,1
1582452275,1,1
1582456104,1,0
1582458075,2,0
1582459979,0,1
1582461881,1,1
1582465713,0,1
1582469534,0,1
1582471514,1,0
1582477395,0,1
1582479387,1,0
1582492840,0,1
1582496667,0,2
1582498570,2,0
1582500490,2,0
1582503370,1,1
1582505326,2,0
1582507233,1,1
1582509128,1,1
1582511065,3,1
1582512973,1,1
1582517080,1,2
1582518987,1,0
1582520904,1,0
1582522814,0,1
1582526658,0,1
1582530512,1,0
1582532414,0,1
1582534333,1,1
1582538190,0,1
1582540133,1,0
1582542980,1,2
1582544917,0,1
1582546819,1,0
1582548738,2,1
1582550676,3,0
1582552609,2,0
1582557622,1,0
1582559528,1,1
1582561449,1,0
1582567324,1,1
1582569150,2,0
1582577058,0,1
1582584728,1,1
1582586670,0,2
1582588571,0,2
1582592508,0,3
1582596499,1,3
1582598412,0,1
1582600343,0,1
1582604415,0,2
1582606332,1,0
1582608267,0,1
1582618093,0,1
1582620016,3,0
1582621949,0,1
1582627931,0,2
1582633687,1,1
1582636603,1,4
1582638526,1,2
1582640421,2,1
1582646197,1,1
1582648122,0,1
1582650199,1,0
1582654105,0,1
1582656012,0,2
1582659865,1,0
1582665624,0,1
1582671381,0,1
1582682903,0,1
1582686749,1,0
1582692810,0,1
1582705226,0,1
1582707136,1,2
1582710984,1,0
1582712928,1,0
1582715775,1,0
1582719687,1,1
1582721551,1,0
1582723466,0,1
1582725387,0,2
1582727329,0,1
1582731374,0,1
1582735233,0,1
1582737208,1,0
1582746736,1,1
1582748663,1,0
1582752490,1,0
1582754575,3,0
1582756572,1,0
1582760412,1,0
1582762369,1,0
1582764275,1,0
1582768109,1,0
1582770014,1,0
1582773866,0,1
1582789213,1,0
1582793051,2,0
1582795048,0,1
1582796906,0,1
1582798812,0,1
1582800754,0,1
1582804582,1,0
1582806491,0,1
1582808715,2,1
1582810591,1,0
1582812500,1,0
1582816640,1,0
1582824259,0,1
1582826185,1,0
1582832895,0,1
1582834827,1,0
1582836753,0,1
1582838653,0,1
1582840610,0,3
1582842494,0,1
1582846575,1,1
1582848633,2,1
1582850671,0,1
1582854497,1,1
1582856474,0,1
1582858353,1,0
1582862204,1,0
1582876586,0,1
1582878496,0,1
1582880578,0,1
1582892220,0,1
1582896022,0,3
1582897932,0,1
1582903690,0,1
1582914250,0,1
1582916188,3,0
1582920999,1,1
1582926989,2,0
1582928897,1,0
1582933699,0,2
1582935628,0,1
1582939484,0,1
1582945357,0,1
1582947373,0,1
1582962738,2,0
1582964655,1,0
1582972574,3,0
1582974512,1,0
