DateTime,AddedIPs,RemovedIPs
1581990776,91,1864
1581992676,65,1366
1581994571,57,1725
1581996501,74,1307
1581999380,116,2169
1582001342,75,1762
1582003227,58,1535
1582005131,92,1842
1582007079,92,1867
1582008973,79,1469
1582010897,75,97
1582012987,166,97
1582014995,91,85
1582016900,67,92
1582018816,77,126
1582020757,61,145
1582022653,58,154
1582024573,60,117
1582026531,86,103
1582028436,89,109
1582030334,111,109
1582032280,60,128
1582034175,81,141
1582036094,90,125
1582038306,77,132
1582040194,133,132
1582042115,58,120
1582044018,134,106
1582045955,93,75
1582047857,123,56
1582049786,75,61
1582051724,80,71
1582053621,70,71
1582055546,67,74
1582057483,135,87
1582059377,92,85
1582061313,141,79
1582064438,187,125
1582066394,109,86
1582068274,101,80
1582070224,84,91
1582072155,90,85
1582074332,64,105
1582076192,97,114
1582078115,86,76
1582080017,82,74
1582081953,113,50
1582083862,96,84
1582085794,89,75
1582087713,110,73
1582089618,82,58
1582091533,101,87
1582093473,85,75
1582095384,96,85
1582097293,54,78
1582099392,66,167
1582101398,66,88
1582103309,80,73
1582105237,82,66
1582107143,82,56
1582109065,74,66
1582110983,76,63
1582112912,77,78
1582114829,94,91
1582116741,98,110
1582118673,99,60
1582120624,121,85
1582122540,106,147
1582124551,136,68
1582126354,146,116
1582128312,101,63
1582130180,84,121
1582132129,101,110
1582134023,110,122
1582135954,103,78
1582137870,116,76
1582139780,86,73
1582141709,130,69
1582143658,144,135
1582145532,89,91
1582147465,109,136
1582149388,89,76
1582151554,140,161
1582153544,68,95
1582155403,115,105
1582157322,99,89
1582159218,106,77
1582161151,83,70
1582163061,73,90
1582164991,83,79
1582166900,103,94
1582168818,87,103
1582170807,103,98
1582172657,62,97
1582174592,66,100
1582176492,105,76
1582178598,90,104
1582180570,113,81
1582182506,86,75
1582184452,76,72
1582186336,66,71
1582188269,95,62
1582190189,104,67
1582192149,79,83
1582194048,100,79
1582195932,69,86
1582197848,96,69
1582199793,107,69
1582201691,61,103
1582203752,80,88
1582205793,60,108
1582207712,71,116
1582209613,53,111
1582211539,69,129
1582213466,58,163
1582215397,75,91
1582217303,88,90
1582219230,68,113
1582221136,61,87
1582223088,99,108
1582224986,78,126
1582226934,144,80
1582229019,150,160
1582230991,139,130
1582232901,145,102
1582234824,121,92
1582236752,99,106
1582238680,129,108
1582240585,123,89
1582242514,122,127
1582244435,117,102
1582246336,122,99
1582248273,121,109
1582250175,114,71
1582252091,96,115
1582254245,95,123
1582256185,95,115
1582258116,75,87
1582260042,102,69
1582261954,90,92
1582263902,129,95
1582265817,95,105
1582267718,110,111
1582269618,96,71
1582271547,108,61
1582273479,88,79
1582275373,59,92
1582278274,120,127
1582280421,109,107
