DateTime,AddedIPs,RemovedIPs
1581994572,20,15
1581996503,37,18
1581999614,42,45
1582001530,35,21
1582003481,26,24
1582005373,21,15
1582007296,32,33
1582009387,19,18
1582011395,33,26
1582013330,106,29
1582015219,27,19
1582017162,25,25
1582019056,18,23
1582020990,24,26
1582022916,23,39
1582024811,21,19
1582026767,31,16
1582028684,25,29
1582030572,29,13
1582032491,25,24
1582034632,23,19
1582036621,25,24
1582038514,23,26
1582040415,31,24
1582042351,27,23
1582044255,35,30
1582046190,28,19
1582048113,29,17
1582050014,27,25
1582051952,32,34
1582053876,23,26
1582055774,23,16
1582057693,23,28
1582059693,21,27
1582061540,32,25
1582063507,23,18
1582065375,32,31
1582067558,18,36
1582069459,20,31
1582071374,20,30
1582073334,27,43
1582075211,24,34
1582077131,53,23
1582079069,25,25
1582080973,30,25
1582082928,24,27
1582084990,27,20
1582086992,26,31
1582088902,36,26
1582090827,29,21
1582092755,31,17
1582094654,30,31
1582096578,21,30
1582098512,24,103
1582100413,20,22
1582102332,31,27
1582104258,24,23
1582106172,29,11
1582108110,25,25
1582110187,30,24
1582112183,38,20
1582114109,19,23
1582116013,37,33
1582117939,23,25
1582119870,23,19
1582121773,24,75
1582123695,28,21
1582125624,27,21
1582127531,23,30
1582129454,23,31
1582131405,32,33
1582133292,22,35
1582135291,27,29
1582137156,27,23
1582139093,22,22
1582141239,33,25
1582143139,20,28
1582145071,23,30
1582146989,30,22
1582149150,35,30
1582151179,27,32
1582152990,15,19
1582154892,29,16
1582158011,52,33
1582159949,33,30
1582161868,31,32
1582163774,16,44
1582165982,35,28
1582168003,24,37
1582170032,34,31
1582171939,25,18
1582173874,24,33
1582175788,19,28
1582177939,33,34
1582179874,28,27
1582181808,30,34
1582183695,26,24
1582185802,21,18
1582187775,46,33
1582189711,23,27
1582191618,27,28
1582193823,31,28
1582195700,24,28
1582197638,22,37
1582199544,19,31
1582201463,22,26
1582203395,23,29
1582205298,19,25
1582208178,32,36
1582210103,27,32
1582212056,26,25
1582213937,24,22
1582215857,41,23
1582217795,29,30
1582219698,19,24
1582221869,23,25
1582223774,39,21
1582225958,78,27
1582227854,24,26
1582229775,28,25
1582231714,28,22
1582233617,26,30
1582235548,13,30
1582237468,19,26
1582239370,24,20
1582241291,28,27
1582243432,26,34
1582245420,30,34
1582247308,26,35
1582249215,37,25
1582251147,24,14
1582253057,31,38
1582254977,17,20
1582256914,27,35
1582258812,15,23
1582260746,34,23
1582262679,31,25
1582264572,31,29
1582266808,36,33
1582268791,24,26
1582270814,39,25
1582272748,21,20
1582274652,29,41
1582276631,32,29
1582278539,31,28
1582280423,31,30
1582282342,28,21
1582284259,26,17
1582286189,18,20
1582288125,23,25
1582290339,25,25
1582292189,19,19
1582294107,31,23
1582296019,27,18
1582297977,12,34
1582299871,25,18
1582301774,24,25
1582303716,23,41
1582305612,16,21
1582307549,22,27
1582309472,24,34
1582311390,25,23
1582313296,19,77
1582315515,30,27
1582317390,35,21
1582320270,43,45
1582322198,20,13
1582324096,28,23
