DateTime,Entries,UniqueIPs
1581995783,2091,2091
1581997733,2071,2071
1581999615,2044,2044
1582001532,2028,2028
1582003482,2005,2005
1582005374,2000,2000
1582007297,2006,2006
1582009419,1976,1976
1582011396,1961,1961
1582013331,1961,1961
1582015220,1948,1948
1582017163,1924,1924
1582019057,1902,1902
1582020992,1869,1869
1582022918,1829,1829
1582024812,1785,1785
1582026768,1759,1759
1582028686,1728,1728
1582030573,1714,1714
1582032492,1661,1661
1582034681,1595,1595
1582036623,1564,1564
1582038515,1518,1518
1582040416,1514,1514
1582042352,1446,1446
1582044256,1463,1463
1582046191,1464,1464
1582048114,1516,1516
1582050016,1532,1532
1582051953,1540,1540
1582053878,1537,1537
1582055778,1544,1544
1582057694,1589,1589
1582059774,1609,1609
1582061772,1642,1642
1582064054,1704,1704
1582065886,1718,1718
1582067779,1776,1776
1582069734,1789,1789
1582071610,1800,1800
1582073528,1793,1793
1582075482,1786,1786
1582077369,1781,1781
1582079288,1784,1784
1582081386,1808,1808
1582083392,1823,1823
1582085324,1845,1845
1582087217,1880,1880
1582089148,1894,1894
1582091054,1905,1905
1582092974,1913,1913
1582094913,1924,1924
1582096810,1917,1917
1582098733,1907,1907
1582100667,1891,1891
1582102573,1889,1889
1582104526,1889,1889
1582106438,1897,1897
1582108334,1900,1900
1582110220,1902,1902
1582112184,1888,1888
1582114110,1887,1887
1582116014,1897,1897
1582117940,1910,1910
1582119871,1952,1952
1582121773,1975,1975
1582123696,2008,2008
1582125624,2012,2012
1582127532,2052,2052
1582129455,2043,2043
1582131406,2044,2044
1582133293,2068,2068
1582135347,2051,2051
1582137157,2086,2086
1582139097,2105,2105
1582141240,2130,2130
1582143139,2171,2171
1582145072,2183,2183
1582146990,2162,2162
1582149152,2167,2167
1582151180,2169,2169
1582152991,2162,2162
1582154893,2122,2122
1582158012,2169,2169
1582159951,2171,2171
1582161869,2182,2182
1582163776,2190,2190
1582165983,2218,2218
1582168006,2212,2212
1582170033,2224,2224
1582171939,2209,2209
1582173875,2183,2183
1582175790,2214,2214
1582177940,2197,2197
1582179875,2227,2227
1582181809,2234,2234
1582183734,2247,2247
1582185870,2260,2260
1582187776,2283,2283
1582189712,2323,2323
1582191620,2333,2333
1582193827,2371,2371
1582195701,2372,2372
1582197639,2411,2411
1582199545,2445,2445
1582201464,2429,2429
1582203396,2419,2419
1582205299,2404,2404
1582208179,2355,2355
1582210104,2294,2294
1582212057,2239,2239
1582213938,2193,2193
1582215858,2192,2192
1582217796,2186,2186
1582219699,2144,2144
1582221881,2138,2138
1582223776,2118,2118
1582225959,2130,2130
1582227855,2153,2153
1582229776,2132,2132
1582231716,2174,2174
1582233618,2200,2200
1582235549,2222,2222
1582237469,2232,2232
1582239371,2252,2252
1582241292,2287,2287
1582243442,2295,2295
1582245422,2349,2349
1582247309,2369,2369
1582249217,2402,2402
1582251148,2412,2412
1582253058,2408,2408
1582254978,2390,2390
1582256915,2362,2362
1582258813,2368,2368
1582260747,2383,2383
1582262680,2360,2360
1582264574,2384,2384
1582266828,2372,2372
1582268796,2365,2365
1582270815,2394,2394
1582272749,2418,2418
1582274653,2426,2426
1582276635,2397,2397
1582278540,2402,2402
1582280424,2410,2410
1582282343,2431,2431
1582284260,2403,2403
1582286191,2351,2351
1582288127,2369,2369
1582290356,2385,2385
1582292191,2396,2396
1582294108,2416,2416
1582296021,2416,2416
1582297979,2429,2429
1582299872,2443,2443
1582301775,2475,2475
1582303717,2494,2494
1582305613,2492,2492
1582307551,2520,2520
1582309474,2538,2538
1582311395,2583,2583
1582313297,2614,2614
1582315520,2654,2654
1582317391,2670,2670
1582320271,2733,2733
1582322199,2790,2790
1582324097,2830,2830
1582327217,2910,2910
1582329132,2945,2945
1582331084,2967,2967
1582332976,2983,2983
1582334892,2985,2985
1582336944,3007,3007
1582338755,3022,3022
1582340907,3037,3037
1582342821,3057,3057
1582344752,3070,3070
1582346663,3074,3074
1582348578,3101,3101
1582350532,3095,3095
1582352441,3099,3099
1582354336,3102,3102
1582356268,3161,3161
1582358177,3191,3191
1582360094,3216,3216
1582363003,3299,3299
1582364902,3325,3325
1582366829,3358,3358
1582368735,3370,3370
1582370657,3403,3403
1582372589,3466,3466
1582374504,3529,3529
1582376657,3575,3575
1582378612,3609,3609
1582380507,3670,3670
1582382425,3690,3690
1582384343,3685,3685
1582386271,3720,3720
1582388206,3717,3717
1582390100,3715,3715
1582392028,3732,3732
1582393954,3737,3737
1582395885,3724,3724
1582397788,3715,3715
1582399695,3713,3713
1582401805,3684,3684
1582403772,3659,3659
1582405722,3659,3659
1582407655,3634,3634
1582409541,3615,3615
1582411475,3599,3599
1582413381,3588,3588
1582415327,3572,3572
1582417221,3584,3584
1582419133,3586,3586
1582421076,3587,3587
1582422981,3578,3578
1582424895,3579,3579
1582427155,3590,3590
1582429040,3611,3611
1582430926,3639,3639
1582432818,3646,3646
1582434755,3623,3623
1582436658,3638,3638
1582438584,3648,3648
1582440518,3661,3661
1582442427,3649,3649
1582444339,3637,3637
1582446271,3611,3611
1582448200,3575,3575
1582450095,3561,3561
1582452302,3527,3527
1582454194,3529,3529
1582456108,3511,3511
1582458079,3501,3501
1582459983,3464,3464
1582461887,3448,3448
1582463794,3397,3397
1582465717,3356,3356
1582467619,3303,3303
1582469538,3317,3317
1582471519,3289,3289
1582473396,3279,3279
1582475311,3263,3263
1582477482,3272,3272
1582479392,3280,3280
1582481313,3260,3260
1582483276,3272,3272
1582485159,3285,3285
1582487079,3297,3297
1582488985,3297,3297
1582490918,3270,3270
1582492845,3234,3234
1582494740,3221,3221
1582496671,3201,3201
1582498574,3178,3178
1582500493,3150,3150
1582503375,3084,3084
1582505330,3043,3043
1582507238,3035,3035
1582509135,3016,3016
1582511069,3008,3008
1582512986,2995,2995
1582515144,2996,2996
1582517093,2971,2971
1582518990,2953,2953
1582520908,2945,2945
1582522821,2947,2947
1582524750,2937,2937
1582526661,2936,2936
1582528607,2932,2932
1582530523,2900,2900
1582532418,2894,2894
1582534338,2872,2872
1582536271,2857,2857
1582538195,2837,2837
1582540137,2764,2764
1582542206,2748,2748
1582544187,2751,2751
1582546097,2703,2703
1582548015,2670,2670
1582549954,2768,2768
1582552165,2785,2785
1582554051,2809,2809
1582555951,2806,2806
1582557860,2796,2796
1582559824,2776,2776
1582561696,2763,2763
1582563783,2735,2735
1582565797,2712,2712
1582567708,2677,2677
1582569661,2636,2636
1582571561,2585,2585
1582573471,2555,2555
1582575377,2521,2521
1582577311,2512,2512
1582579210,2498,2498
1582581163,2491,2491
1582583068,2495,2495
1582584972,2486,2486
1582587076,2479,2479
1582588972,2478,2478
1582590987,2490,2490
1582592898,2494,2494
1582594813,2478,2478
1582596748,2476,2476
1582598651,2466,2466
1582600575,2472,2472
1582602507,2460,2460
1582604417,2466,2466
1582606335,2461,2461
1582608272,2444,2444
1582610172,2432,2432
1582612103,2402,2402
1582614171,2389,2389
1582616190,2407,2407
1582618094,2406,2406
1582620018,2420,2420
1582621952,2417,2417
1582623883,2412,2412
1582626021,2414,2414
1582627933,2402,2402
1582629887,2393,2393
1582631777,2412,2412
1582633691,2405,2405
1582635696,2427,2427
1582637534,2502,2502
1582639519,2531,2531
1582641387,2539,2539
1582643315,2548,2548
1582645213,2537,2537
1582647143,2533,2533
1582649066,2563,2563
1582650981,2584,2584
1582652903,2616,2616
1582654828,2644,2644
1582656734,2685,2685
1582658661,2758,2758
1582660585,2828,2828
1582662500,2874,2874
1582664505,2884,2884
1582666352,2915,2915
1582668312,2940,2940
1582670176,2950,2950
1582672104,2980,2980
1582674167,3003,3003
1582676177,3018,3018
1582678108,3057,3057
1582680016,3088,3088
1582681931,3130,3130
1582683868,3150,3150
1582685773,3200,3200
1582687710,3217,3217
1582689810,3235,3235
1582691785,3230,3230
1582693702,3285,3285
1582695628,3334,3334
1582697534,3372,3372
1582699458,3391,3391
1582701396,3432,3432
1582703295,3457,3457
1582705228,3473,3473
1582707161,3486,3486
1582709052,3508,3508
1582710986,3555,3555
1582712930,3559,3559
1582715778,3630,3630
1582717698,3657,3657
1582719694,3650,3650
1582721554,3677,3677
1582723469,3594,3594
1582725391,3540,3540
1582727331,3547,3547
1582729509,3538,3538
1582731377,3589,3589
1582733294,3628,3628
1582735236,3641,3641
1582737234,3658,3658
1582739074,3666,3666
1582740978,3672,3672
1582742902,3678,3678
1582744827,3668,3668
1582746741,3692,3692
1582748667,3703,3703
