DateTime,AddedIPs,RemovedIPs
1581998598,2,3
1582000595,4,1
1582002547,3,3
1582004414,4,3
1582006358,3,0
1582008253,4,0
1582010207,2,1
1582012128,3,1
1582014027,2,3
1582015937,2,2
1582017907,2,5
1582019773,4,3
1582021689,3,5
1582023768,2,4
1582025792,9,4
1582027691,4,0
1582029611,13,2
1582031556,1,3
1582033454,5,2
1582035373,2,3
1582037324,5,1
1582039211,3,1
1582041130,4,3
1582043107,6,4
1582044999,6,3
1582046895,6,4
1582049020,3,0
1582050991,0,4
1582052909,5,1
1582054819,6,2
1582056751,3,4
1582058653,1,6
1582060605,10,2
1582062497,9,2
1582064441,5,4
1582066397,10,10
1582068277,2,2
1582070227,4,6
1582072158,2,6
1582074351,9,3
1582076195,6,5
1582078118,5,3
1582080020,2,0
1582081955,9,1
1582083865,4,1
1582085797,4,2
1582087716,2,5
1582089621,5,4
1582091536,3,3
1582093475,1,5
1582095387,7,2
1582097296,3,5
1582099397,5,3
1582101401,1,2
1582103312,5,3
1582105239,3,1
1582107145,3,3
1582109068,4,4
1582110987,3,6
1582112915,1,6
1582114832,7,4
1582116744,9,6
1582118676,11,2
1582120627,8,4
1582122543,12,4
1582124599,4,4
1582126578,6,2
1582128510,7,5
1582130415,4,6
1582132363,3,2
1582134269,1,5
1582136177,5,3
1582138094,4,1
1582140045,6,7
1582141934,7,3
1582143863,9,9
1582145788,6,5
1582147691,9,13
1582150883,6,9
1582152749,4,9
1582154667,10,4
1582156569,2,4
1582158499,2,1
1582160649,4,7
1582162615,1,8
1582164515,2,5
1582166435,4,3
1582168343,5,10
1582170256,9,4
1582172180,4,5
1582174104,9,3
1582176031,1,6
1582177940,3,4
1582179875,1,1
1582181810,6,7
1582183734,5,3
1582185888,4,5
1582187776,12,1
1582189713,1,5
1582191620,5,3
1582194757,3,5
1582196696,5,4
1582198576,2,2
1582200513,0,7
1582202427,4,6
1582204336,6,8
1582206272,0,9
1582208180,3,6
1582210104,1,10
1582212057,4,3
1582213938,2,8
1582215859,1,3
1582217796,3,3
1582219700,1,1
1582221882,1,5
1582223776,5,3
1582225960,6,7
1582227856,4,7
1582229777,5,10
1582231716,17,4
1582233618,9,12
1582235549,4,5
1582237470,3,4
1582239371,3,5
1582241292,5,9
1582243446,3,1
1582245422,3,3
1582247310,5,3
1582249217,3,2
1582251148,2,3
1582253058,4,2
1582254978,10,6
1582256915,4,8
1582258813,4,6
1582260747,2,7
1582262680,3,2
1582264574,1,2
1582266829,1,2
1582268797,3,6
1582270816,3,6
1582272750,4,4
1582274654,1,11
1582276636,2,3
1582278541,2,5
1582280425,1,2
1582282344,3,5
1582284260,1,1
1582286191,8,1
1582288127,10,1
1582290357,3,5
1582292191,3,1
1582294109,1,2
1582296021,8,2
1582297979,3,4
1582299873,3,3
1582301776,3,2
1582303718,8,4
1582305613,8,1
1582307551,7,1
1582309474,7,4
1582311395,8,6
1582313298,1,3
1582315521,3,4
1582317391,2,13
1582320272,4,11
