DateTime,Entries,UniqueIPs
1581997734,29297,29297
1581999617,28311,28311
1582001533,27087,27087
1582003484,26073,26073
1582005376,25030,25030
1582007298,24251,24251
1582009464,22840,22840
1582011398,21873,21873
1582013332,20971,20971
1582015221,20012,20012
1582017164,19100,19100
1582019058,18217,18217
1582020993,17315,17315
1582022919,16383,16383
1582024814,15580,15580
1582026770,14727,14727
1582028706,13962,13962
1582030574,13059,13059
1582032513,12283,12283
1582034686,11344,11344
1582036624,10438,10438
1582038516,10277,10277
1582040418,10251,10251
1582042353,10858,10858
1582044258,17321,17321
1582046192,18506,18506
1582048116,18485,18485
1582050017,18462,18462
1582051955,18472,18472
1582053879,18480,18480
1582055779,18490,18490
1582057696,18414,18414
1582059830,18380,18380
1582061782,18349,18349
1582064065,18329,18329
1582065888,18299,18299
1582067780,18283,18283
1582069736,18261,18261
1582071611,18231,18231
1582073529,18190,18190
1582075483,18168,18168
1582077381,18162,18162
1582079289,18117,18117
1582081454,18094,18094
1582083394,18093,18093
1582085326,18062,18062
1582087219,18041,18041
1582089158,18042,18042
1582091055,18048,18048
1582092975,18027,18027
1582094914,18022,18022
1582096811,17995,17995
1582098734,17989,17989
1582100669,17947,17947
1582102575,17925,17925
1582104527,17927,17927
1582107388,17934,17934
1582109299,17915,17915
1582111227,17911,17911
1582113132,17929,17929
1582115052,17918,17918
1582116985,17894,17894
1582118903,17855,17855
1582120979,17845,17845
1582122976,17853,17853
1582124924,17804,17804
1582126822,17783,17783
1582128736,17285,17285
1582130713,10142,10142
1582132599,9249,9249
1582134505,9289,9289
1582136426,9291,9291
1582138335,9229,9229
1582140257,9197,9197
1582142192,9168,9168
1582144090,9146,9146
1582146137,9135,9135
1582147951,9120,9120
1582149783,8990,8990
1582151585,9016,9016
1582153547,9070,9070
1582155406,9152,9152
1582157326,9176,9176
1582159222,9164,9164
1582161154,9154,9154
1582163064,9149,9149
1582164994,9086,9086
1582166903,9081,9081
1582168821,9079,9079
1582170810,9046,9046
1582172660,9038,9038
1582174595,9037,9037
1582176496,9026,9026
1582178685,9009,9009
1582180573,8946,8946
1582182512,8958,8958
1582184455,8934,8934
1582186338,8928,8928
1582188272,8928,8928
1582190202,8940,8940
1582192152,8955,8955
1582194051,8952,8952
1582195935,8971,8971
1582197851,8947,8947
1582199796,8888,8888
1582201694,8878,8878
1582203786,8871,8871
1582205796,8875,8875
1582207715,8856,8856
1582209616,8841,8841
1582211542,8791,8791
1582213469,8684,8684
1582215401,8647,8647
1582217315,8597,8597
1582219249,8541,8541
1582221139,8549,8549
1582223091,8559,8559
1582224989,8575,8575
1582226938,8610,8610
1582229090,8631,8631
1582230994,8620,8620
1582232904,8749,8749
1582234827,8956,8956
1582236784,9043,9043
1582238683,9061,9061
1582240590,8985,8985
1582242516,8948,8948
1582244438,8924,8924
1582246338,8907,8907
1582248276,8839,8839
1582250178,8838,8838
1582252094,8829,8829
1582254328,8880,8880
1582256188,8951,8951
1582258119,9004,9004
1582260045,9008,9008
1582261956,9015,9015
1582263922,9001,9001
1582265820,8980,8980
1582267721,8964,8964
1582269621,8953,8953
1582271549,8960,8960
1582273481,8917,8917
1582275376,8896,8896
1582277342,8908,8908
1582279538,8959,8959
1582281419,8904,8904
1582283306,8901,8901
1582285218,8920,8920
1582287164,8905,8905
1582289061,8905,8905
1582291080,8890,8890
1582292933,8880,8880
1582294818,8909,8909
1582296735,8917,8917
1582298675,8942,8942
1582300573,8975,8975
1582302516,9002,9002
1582304676,9048,9048
1582306590,9200,9200
1582308525,9211,9211
1582310418,9188,9188
1582312362,9198,9198
1582314261,9170,9170
1582316180,9140,9140
1582318128,9136,9136
1582320991,9053,9053
1582322925,9026,9026
1582324842,9033,9033
1582326754,9082,9082
1582328659,9128,9128
1582330577,9147,9147
1582332515,9208,9208
1582334418,9235,9235
1582336335,9252,9252
1582338272,9253,9253
1582340176,9238,9238
1582342098,9209,9209
1582344287,9158,9158
1582346226,9180,9180
1582348123,9202,9202
1582350018,9218,9218
1582351996,9242,9242
1582353859,9301,9301
1582355778,9318,9318
1582357711,9333,9333
1582359645,9339,9339
1582361556,9310,9310
1582363457,9272,9272
1582365376,9267,9267
1582367296,9267,9267
1582369536,9279,9279
1582371391,9314,9314
1582373313,9369,9369
1582375223,9378,9378
1582377142,9325,9325
1582379073,9286,9286
1582380973,9281,9281
1582382908,9279,9279
1582384827,9262,9262
1582386753,9244,9244
1582388655,9236,9236
1582390587,9211,9211
1582392496,9215,9215
1582394432,9444,9444
1582396354,10171,10171
1582398195,10339,10339
1582400170,10358,10358
1582402116,10397,10397
1582404016,10435,10435
1582405934,10465,10465
1582407889,10511,10511
1582409785,10497,10497
1582411695,10521,10521
1582413614,10506,10506
1582415534,10508,10508
1582417469,10519,10519
1582419371,10556,10556
1582421290,10585,10585
1582423476,10609,10609
1582425389,10648,10648
1582427307,10633,10633
1582429241,10653,10653
1582431189,10627,10627
1582433056,10611,10611
1582434977,10572,10572
1582436913,10579,10579
1582438814,10577,10577
1582440731,10585,10585
1582442667,10593,10593
1582444572,10632,10632
1582446492,10654,10654
1582449611,10677,10677
1582451547,10696,10696
1582453510,10693,10693
1582455375,10706,10706
1582458285,10719,10719
1582460451,10734,10734
1582462339,10771,10771
1582464270,10789,10789
1582466183,10861,10861
1582468103,10869,10869
1582470282,10919,10919
1582472200,10923,10923
1582474361,10944,10944
1582476264,10990,10990
1582478181,10978,10978
1582480117,10844,10844
1582482016,10350,10350
1582483958,9855,9855
1582485868,9885,9885
1582487773,9936,9936
1582489695,10269,10269
1582491849,10608,10608
1582493841,10918,10918
1582495696,11186,11186
1582497615,11437,11437
1582499560,11674,11674
1582501452,11771,11771
1582503377,12145,12145
1582505333,13546,13546
1582507241,14765,14765
1582509141,16221,16221
1582511072,17389,17389
1582512997,18681,18681
1582515147,19688,19688
1582517106,20622,20622
1582518993,21704,21704
1582520911,22651,22651
1582522824,23567,23567
1582524752,24409,24409
1582526664,25285,25285
1582528610,26090,26090
1582530526,27140,27140
1582532421,28042,28042
1582534342,29041,29041
1582536274,29967,29967
1582538211,31071,31071
1582540141,31943,31943
1582542295,32976,32976
1582544190,33869,33869
1582546099,34711,34711
1582548018,35684,35684
1582549967,36507,36507
1582552177,37557,37557
1582554053,38288,38288
1582555954,38588,38588
1582557863,38552,38552
1582559827,38515,38515
1582561699,38450,38450
1582563863,38425,38425
1582565800,38409,38409
1582567710,38377,38377
1582569681,38377,38377
1582571564,38334,38334
1582573473,38318,38318
1582575380,38252,38252
1582577313,38124,38124
1582579213,38167,38167
1582581174,38166,38166
1582583082,38116,38116
1582584975,38030,38030
1582587079,38363,38363
1582589026,38897,38897
1582590990,38852,38852
1582592901,38131,38131
1582594815,36710,36710
1582596751,35539,35539
1582598662,34444,34444
1582600577,33481,33481
1582602510,32184,32184
1582604420,31248,31248
1582606338,30144,30144
1582608275,29278,29278
1582610175,28336,28336
1582612106,27622,27622
1582614250,26724,26724
1582616193,25824,25824
1582618098,24953,24953
1582620022,23959,23959
1582621954,23039,23039
1582623886,21966,21966
1582626024,20903,20903
1582627936,19800,19800
1582629889,18821,18821
1582631780,17886,17886
1582633693,17009,17009
1582635789,16018,16018
1582637789,15076,15076
1582639695,14320,14320
1582641618,13582,13582
1582643549,13585,13585
1582645457,13597,13597
1582647373,13592,13592
1582649301,13557,13557
1582651222,13525,13525
1582653132,13528,13528
1582655058,13512,13512
1582656982,13483,13483
1582658891,13482,13482
1582660992,13378,13378
1582662971,13364,13364
1582664908,13253,13253
1582666817,13220,13220
1582668734,13129,13129
1582670689,13071,13071
1582672578,12805,12805
1582674510,12741,12741
1582676415,12655,12655
1582678334,12651,12651
1582680267,12645,12645
1582682177,12497,12497
1582684093,12495,12495
1582686274,12196,12196
1582688195,11993,11993
1582690108,11626,11626
1582692018,11623,11623
1582693934,11595,11595
1582695856,11590,11590
1582697789,11566,11566
1582699728,11548,11548
1582701750,11543,11543
1582703792,11533,11533
1582705689,11533,11533
1582707652,11518,11518
1582709560,11532,11532
1582711471,11536,11536
1582713370,11571,11571
1582715305,11573,11573
1582717211,11592,11592
1582719146,11614,11614
1582721064,11636,11636
1582722979,11634,11634
1582724899,11618,11618
1582726826,11751,11751
1582728744,11769,11769
1582730656,11814,11814
1582732574,11820,11820
1582734507,11806,11806
1582736601,11802,11802
1582738576,11805,11805
1582740508,11801,11801
1582742426,11797,11797
1582744342,11794,11794
1582746279,11778,11778
1582748197,10436,10436
1582750097,7964,7964
1582752025,7861,7861
1582753955,7883,7883
1582755856,7896,7896
1582757783,7879,7879
1582759692,7885,7885
1582761497,7895,7895
1582763549,7909,7909
1582765755,8463,8463
1582767645,11047,11047
1582769561,11785,11785
1582771462,11729,11729
1582773390,11713,11713
1582775318,11651,11651
1582777218,11656,11656
1582779138,11652,11652
1582781096,11648,11648
1582782983,11652,11652
1582784896,11684,11684
1582786984,11677,11677
1582788806,11664,11664
1582790908,11657,11657
1582792819,11650,11650
1582794757,11657,11657
1582796675,11649,11649
1582798614,11662,11662
1582800525,11656,11656
1582802424,11668,11668
1582804355,11652,11652
1582806277,11641,11641
1582808177,11647,11647
1582810112,11661,11661
1582812186,11664,11664
1582814211,11522,11522
1582816271,11485,11485
1582818286,11470,11470
1582820215,11501,11501
1582822096,11597,11597
1582824034,11650,11650
1582825937,11671,11671
1582827852,11691,11691
1582829786,11690,11690
1582831758,11719,11719
1582833784,11737,11737
1582835773,11769,11769
1582837721,11773,11773
1582839616,11760,11760
1582841536,11759,11759
1582843485,11797,11797
1582846354,11844,11844
1582848636,11890,11890
1582850673,11981,11981
1582852581,11961,11961
1582854509,11956,11956
1582856476,10587,10587
1582858355,8128,8128
1582860259,7980,7980
1582862206,8007,8007
1582864107,8012,8012
1582866994,8014,8014
1582868899,8035,8035
1582870825,8043,8043
1582872745,8036,8036
1582874663,8017,8017
1582876594,7981,7981
1582878500,7955,7955
1582880685,7933,7933
1582882577,7924,7924
1582884531,7904,7904
1582886422,7879,7879
1582888350,7854,7854
1582890283,7848,7848
1582892225,7849,7849
1582894101,7850,7850
1582896041,7832,7832
1582897937,7809,7809
1582899860,7782,7782
1582901792,7753,7753
1582903694,7739,7739
1582906577,7659,7659
1582908497,7611,7611
1582910432,7620,7620
1582912340,7593,7593
1582914254,7588,7588
1582916192,7525,7525
1582918096,7520,7520
1582921004,7453,7453
1582923148,7443,7443
1582925064,7429,7429
1582927014,7431,7431
1582928918,7401,7401
1582930891,7398,7398
1582932750,7374,7374
1582934686,7370,7370
1582936576,7332,7332
1582938509,7346,7346
1582940420,7345,7345
1582942338,7303,7303
1582944269,7316,7316
1582946186,7272,7272
1582948114,7187,7187
1582950033,7208,7208
1582951936,7206,7206
1582953856,7162,7162
1582955817,7157,7157
1582957756,7149,7149
1582960601,7136,7136
1582962496,7128,7128
1582964452,7113,7113
1582966332,7106,7106
1582968257,7121,7121
1582970194,7115,7115
1582972095,7108,7108
1582974318,7201,7201
