DateTime,AddedIPs,RemovedIPs
1581997737,79,83
1581999618,53,81
1582001535,66,66
1582003485,77,91
1582005377,72,107
1582007299,115,85
1582009487,58,84
1582011433,87,89
1582013334,72,84
1582015223,86,68
1582017165,66,89
1582019059,69,93
1582020994,73,85
1582022920,65,75
1582024815,70,91
1582026771,74,54
1582028708,73,83
1582030575,71,75
1582032514,48,80
1582034687,73,78
1582036627,61,67
1582038518,68,66
1582040419,51,82
1582042355,521,67
1582044260,1460,82
1582046193,414,75
1582048117,64,93
1582050019,68,83
1582051956,104,69
1582053880,75,96
1582055817,72,90
1582057697,81,86
1582059879,67,83
1582061784,62,80
1582064067,76,78
1582065890,50,87
1582067781,45,68
1582069737,45,82
1582071612,40,71
1582073538,63,70
1582075484,63,73
1582077392,59,64
1582079290,64,92
1582081509,53,65
1582083395,46,82
1582085327,56,67
1582087221,45,59
1582089159,57,84
1582091057,67,67
1582092977,68,113
1582094915,56,66
1582096813,51,68
1582098738,60,79
1582100670,41,74
1582102577,55,76
1582104528,50,92
1582107389,76,106
1582109299,53,68
1582111228,68,87
1582113133,60,97
1582115052,56,70
1582116986,62,86
1582118903,50,59
1582120999,43,67
1582122977,58,71
1582124925,49,83
1582126823,44,65
1582128737,60,506
1582130715,119,1537
1582132599,115,348
1582134505,84,78
1582136427,75,78
1582138337,34,119
1582140258,48,83
1582142193,48,86
1582144092,67,94
1582146151,58,75
1582147952,49,48
1582149800,43,299
1582151774,84,55
1582153962,127,63
1582155858,84,59
1582157787,64,58
1582159711,51,61
1582161616,57,80
1582163565,47,70
1582165474,44,82
1582167373,52,62
1582169313,60,46
1582171470,62,49
1582173372,82,66
1582175305,61,53
1582177215,43,70
1582179134,55,71
1582181073,40,58
1582182976,53,49
1582185144,58,81
1582187057,64,49
1582188992,60,57
1582190899,164,63
1582193155,62,68
1582194975,52,62
1582196909,67,58
1582198837,53,70
1582200742,58,54
1582202679,51,71
1582204644,76,46
1582206498,47,31
1582208432,52,53
1582210331,64,81
1582212254,52,51
1582214189,38,88
1582216099,57,81
1582218158,64,116
1582220179,50,79
1582222128,86,56
1582224020,66,52
1582225961,67,40
1582227870,56,37
1582229779,43,56
1582231719,64,60
1582233620,198,56
1582235551,120,44
1582237472,100,62
1582239373,47,70
1582241294,35,99
1582243475,34,80
1582245425,44,70
1582247314,40,56
1582249219,37,59
1582251150,38,48
1582253060,52,60
1582254981,77,66
1582256917,126,65
1582258815,66,59
1582260749,54,65
1582262682,65,73
1582264576,45,37
1582266853,46,57
1582268801,43,57
1582270819,69,60
1582272752,47,67
1582274668,52,45
1582276649,59,51
1582278543,76,49
1582280427,73,58
1582282346,89,196
1582284262,76,58
1582286193,49,45
1582288129,61,78
1582290361,67,69
1582292193,47,49
1582294110,67,52
1582296023,57,63
1582297981,67,55
1582299875,78,55
1582301796,69,56
1582303728,69,58
1582305615,78,44
1582307553,83,79
1582309476,66,63
1582311399,56,59
1582313299,52,55
1582315527,61,93
1582317393,51,37
1582320273,135,183
1582322201,67,83
1582324099,84,70
1582327218,111,75
1582329134,75,30
1582331087,73,36
1582332979,97,54
1582334895,54,37
1582336979,62,50
1582338991,62,44
1582340911,53,93
1582342824,47,98
1582344755,88,60
1582346665,58,63
1582348579,58,47
1582350534,87,56
1582352443,71,42
1582354338,74,31
1582356270,65,56
1582358179,59,47
1582360097,56,41
1582362168,49,64
1582364194,58,56
1582366124,51,69
1582368017,75,66
1582369946,78,81
1582371870,94,58
1582374054,63,45
1582375939,50,48
1582377860,41,166
1582379815,59,64
1582381725,57,41
1582384616,80,118
1582386500,55,61
1582388429,62,71
1582390348,57,65
1582392257,51,68
1582394194,396,91
1582396120,708,52
1582398199,365,59
1582400171,104,52
1582402117,111,51
1582404017,100,59
1582405935,96,81
1582407891,89,56
1582409786,88,79
1582411696,93,68
1582413614,87,73
1582415534,104,66
1582417470,119,108
1582419372,102,91
1582421291,76,62
1582423480,75,73
1582425390,93,61
1582427307,63,57
1582429242,82,46
1582431190,76,92
1582433058,50,57
1582434978,54,73
1582436914,90,76
1582438815,58,66
1582440732,61,58
1582442668,84,64
1582444573,76,50
1582446493,96,55
1582448636,69,58
1582450590,113,59
1582452507,59,54
1582454416,72,79
1582456356,66,79
1582458286,68,88
1582460452,67,57
1582462339,69,48
1582464271,93,42
1582466185,98,49
1582468104,71,69
1582470283,81,58
1582472205,64,56
1582474362,142,62
1582476265,165,53
1582478182,95,48
1582480119,203,249
1582482017,120,563
1582483958,220,626
1582485868,160,54
1582487774,139,59
1582489696,472,67
1582491861,552,64
1582493846,589,58
1582495697,482,50
1582497617,494,66
1582499561,431,51
1582501453,207,60
1582503378,36,57
1582505333,34,77
1582507241,39,40
1582509141,32,53
1582511072,26,70
1582512997,31,56
1582515147,34,63
1582517107,15,45
1582518994,30,50
1582520911,22,34
1582522824,22,45
1582524752,23,48
1582526665,34,35
1582528611,148,48
1582530527,286,45
1582532422,246,69
1582534353,262,32
1582536275,248,56
1582538213,282,49
1582540142,193,40
1582542298,224,39
1582544192,219,25
1582546101,62,30
1582548020,54,35
1582549969,44,42
1582552178,51,41
1582554055,36,41
1582555955,35,35
1582557865,18,35
1582559829,11,47
1582561701,45,98
1582563892,27,74
1582565802,22,75
1582567712,25,83
1582569730,21,72
1582571565,18,122
1582573475,16,52
1582575382,20,167
1582577315,44,298
1582579215,170,337
1582581176,143,323
1582583083,112,350
1582584976,83,393
1582587081,111,347
1582589083,88,54
1582590991,118,26
1582592902,57,32
1582594817,53,30
1582596753,34,19
1582598664,45,23
1582600579,41,24
1582602512,54,22
1582604421,40,19
1582606340,34,18
1582608276,45,16
1582610176,37,22
1582612107,43,20
1582614281,41,88
1582616195,31,243
1582618100,37,290
1582620024,31,310
1582621955,33,368
1582623887,19,413
1582626025,26,473
1582627937,38,469
1582629891,29,476
1582631782,36,251
1582633694,33,87
1582635845,24,97
1582637790,41,93
1582639697,29,90
1582641619,29,114
1582643550,42,76
1582645459,40,22
1582647374,38,55
1582649302,45,50
1582651224,38,45
1582653133,35,24
1582655059,28,42
1582656983,45,52
1582658892,42,44
1582661033,47,75
1582662973,40,43
1582664909,79,183
1582666818,122,193
1582668735,101,189
1582670690,73,164
1582672579,76,194
1582674512,109,192
1582676417,72,201
1582678335,97,157
1582680269,106,92
1582682178,68,61
1582684094,70,68
1582686328,70,88
1582688197,101,73
1582690109,69,55
1582692019,64,62
1582693935,51,71
1582695857,64,96
1582697790,64,74
1582699729,51,69
1582701770,54,52
1582703794,43,62
1582705691,62,56
1582707700,48,55
1582709561,57,46
1582711474,49,39
1582713371,38,41
1582715306,50,43
1582717212,59,43
1582719147,65,38
1582721066,55,39
1582722989,48,45
1582724900,42,41
1582726827,41,43
1582728744,57,46
1582730657,94,43
1582732575,38,47
1582734508,49,47
1582736648,52,53
1582738577,40,36
1582740509,39,45
1582742427,53,37
1582744343,40,40
1582746280,45,58
1582748198,49,33
1582750099,53,45
1582752026,99,85
1582753956,109,89
1582755858,90,72
1582757784,79,77
1582759694,78,77
1582761498,65,75
1582763574,78,72
1582765761,78,100
1582767646,62,81
1582769562,46,66
1582771463,47,53
1582773391,55,69
1582775319,45,78
1582777218,61,52
1582779138,60,69
1582781096,58,47
1582782984,60,49
1582784897,78,58
1582786985,59,57
1582788806,40,39
1582790908,78,56
1582792820,55,62
1582794757,45,49
1582796677,37,51
1582798615,45,53
1582800526,56,49
1582802425,48,58
1582804356,42,55
1582806278,32,60
1582808179,54,40
1582810114,68,52
1582812193,49,57
1582814214,56,53
1582816282,63,110
1582818287,45,51
1582820216,91,54
1582822097,123,55
1582824035,100,50
1582825938,72,37
1582827853,64,50
1582829788,66,55
1582831758,80,40
1582833804,63,49
1582835774,60,44
1582837723,67,69
1582839618,68,104
1582841537,78,85
1582843488,92,60
1582846354,188,115
1582848636,135,69
1582850675,138,65
1582852582,60,62
1582854511,52,60
1582856477,44,58
1582858357,49,45
1582860260,57,41
1582862207,63,50
1582864107,40,73
1582866994,84,79
1582868900,72,64
1582870825,54,56
1582872745,50,56
1582874664,27,60
1582876595,43,79
1582878500,30,50
1582880687,42,47
1582882578,43,44
1582884532,35,42
1582886422,41,46
1582888351,30,42
1582890284,36,56
1582892239,42,37
1582894101,37,46
1582896042,30,63
1582897938,37,58
1582899861,39,52
1582901792,40,65
1582903718,41,54
1582906578,60,104
1582908498,67,107
1582910432,66,74
1582912341,48,69
1582914255,64,52
1582916192,51,67
1582918097,64,75
1582921005,78,145
1582923149,66,81
1582925065,71,61
1582927015,68,69
1582928919,74,87
1582930932,57,102
1582932752,120,142
1582934693,65,93
1582936577,99,121
1582938510,79,69
1582940420,56,45
1582942338,54,59
1582944269,60,45
1582946187,45,80
1582948115,50,76
1582950033,63,43
1582951937,64,49
1582953857,51,77
1582955818,66,56
1582957792,45,65
1582959686,49,52
1582961549,40,42
1582963460,39,39
1582965372,48,41
1582967310,30,42
1582969215,47,52
1582971146,31,51
1582973068,50,47
1582975093,39,52
