DateTime,Entries,UniqueIPs
1581997737,4914,4914
1581999618,4886,4886
1582001535,4886,4886
1582003485,4872,4872
1582005377,4837,4837
1582007299,4867,4867
1582009487,4841,4841
1582011433,4839,4839
1582013334,4827,4827
1582015223,4845,4845
1582017165,4822,4822
1582019059,4798,4798
1582020994,4786,4786
1582022920,4776,4776
1582024815,4755,4755
1582026771,4775,4775
1582028708,4765,4765
1582030575,4761,4761
1582032514,4729,4729
1582034687,4724,4724
1582036627,4718,4718
1582038518,4720,4720
1582040419,4689,4689
1582042355,5143,5143
1582044260,6521,6521
1582046193,6860,6860
1582048117,6831,6831
1582050019,6816,6816
1582051956,6851,6851
1582053880,6830,6830
1582055817,6812,6812
1582057697,6807,6807
1582059879,6791,6791
1582061784,6773,6773
1582064067,6771,6771
1582065890,6734,6734
1582067781,6711,6711
1582069737,6674,6674
1582071612,6643,6643
1582073538,6636,6636
1582075484,6626,6626
1582077392,6621,6621
1582079290,6593,6593
1582081509,6581,6581
1582083395,6545,6545
1582085327,6534,6534
1582087221,6520,6520
1582089159,6493,6493
1582091057,6493,6493
1582092977,6448,6448
1582094915,6438,6438
1582096813,6421,6421
1582098738,6402,6402
1582100670,6369,6369
1582102577,6348,6348
1582104528,6306,6306
1582107389,6276,6276
1582109299,6261,6261
1582111228,6242,6242
1582113133,6205,6205
1582115052,6191,6191
1582116986,6167,6167
1582118903,6158,6158
1582120999,6134,6134
1582122977,6121,6121
1582124925,6087,6087
1582126823,6066,6066
1582128737,5620,5620
1582130715,4202,4202
1582132599,3969,3969
1582134505,3975,3975
1582136427,3972,3972
1582138337,3887,3887
1582140258,3852,3852
1582142193,3814,3814
1582144092,3787,3787
1582146151,3770,3770
1582147952,3771,3771
1582149800,3515,3515
1582151774,3544,3544
1582153962,3608,3608
1582155858,3633,3633
1582157787,3639,3639
1582159711,3629,3629
1582161616,3606,3606
1582163565,3583,3583
1582165474,3545,3545
1582167373,3535,3535
1582169313,3549,3549
1582171470,3562,3562
1582173372,3578,3578
1582175305,3586,3586
1582177215,3559,3559
1582179134,3543,3543
1582181073,3525,3525
1582182976,3529,3529
1582185144,3506,3506
1582187057,3521,3521
1582188992,3524,3524
1582190899,3625,3625
1582193155,3619,3619
1582194975,3609,3609
1582196909,3618,3618
1582198837,3601,3601
1582200742,3605,3605
1582202679,3585,3585
1582204644,3615,3615
1582206498,3631,3631
1582208432,3630,3630
1582210331,3613,3613
1582212254,3614,3614
1582214189,3564,3564
1582216099,3540,3540
1582218158,3488,3488
1582220179,3459,3459
1582222128,3489,3489
1582224020,3503,3503
1582225961,3530,3530
1582227870,3549,3549
1582229779,3536,3536
1582231719,3540,3540
1582233620,3682,3682
1582235551,3758,3758
1582237472,3796,3796
1582239373,3773,3773
1582241294,3709,3709
1582243475,3663,3663
1582245425,3637,3637
1582247314,3621,3621
1582249219,3599,3599
1582251150,3589,3589
1582253060,3581,3581
1582254981,3592,3592
1582256917,3653,3653
1582258815,3660,3660
1582260749,3649,3649
1582262682,3641,3641
1582264576,3649,3649
1582266853,3638,3638
1582268801,3624,3624
1582270819,3633,3633
1582272752,3613,3613
1582274668,3620,3620
1582276649,3628,3628
1582278543,3655,3655
1582280427,3670,3670
1582282346,3563,3563
1582284262,3581,3581
1582286193,3585,3585
1582288129,3568,3568
1582290361,3566,3566
1582292193,3564,3564
1582294110,3579,3579
1582296023,3573,3573
1582297981,3585,3585
1582299875,3608,3608
1582301796,3621,3621
1582303728,3632,3632
1582305615,3666,3666
1582307553,3670,3670
1582309476,3673,3673
1582311399,3670,3670
1582313299,3667,3667
1582315527,3635,3635
1582317393,3649,3649
1582320273,3601,3601
1582322201,3585,3585
1582324099,3599,3599
1582327218,3635,3635
1582329134,3680,3680
1582331087,3717,3717
1582332979,3760,3760
1582334895,3777,3777
1582336979,3789,3789
1582338991,3807,3807
1582340911,3767,3767
1582342824,3716,3716
1582344755,3744,3744
1582346665,3739,3739
1582348579,3750,3750
1582350534,3781,3781
1582352443,3810,3810
1582354338,3853,3853
1582356270,3862,3862
