DateTime,AddedIPs,RemovedIPs
1581997738,4,4
1581999620,22,7
1582001537,18,10
1582003486,18,7
1582005379,13,10
1582007300,19,7
1582009490,20,12
1582011433,20,12
1582013335,16,5
1582015224,29,0
1582017166,17,1
1582019060,13,0
1582020995,16,2
1582022921,12,5
1582024816,10,7
1582026772,11,10
1582028710,15,2
1582030576,14,6
1582032515,13,4
1582034688,13,5
1582036628,7,1
1582038519,3,7
1582040420,8,13
1582042356,7,5
1582044261,17,9
1582046194,10,3
1582048118,10,12
1582050020,8,10
1582051958,4,9
1582053881,7,6
1582055819,7,1
1582057698,5,5
1582059889,9,4
1582061785,15,5
1582064069,14,2
1582065891,13,3
1582067782,52,6
1582069738,24,2
1582071613,15,4
1582073562,9,0
1582075485,16,0
1582077393,17,0
1582079291,18,0
1582081523,15,4
1582083396,10,3
1582085328,12,5
1582087222,11,15
1582089160,14,15
1582091059,20,10
1582092978,16,16
1582094916,23,10
1582096814,29,9
1582098739,21,12
1582100671,18,13
1582102578,20,14
1582104530,13,10
1582106543,13,10
1582108574,11,11
1582110525,27,7
1582112426,19,6
1582114351,29,10
1582116272,25,8
1582118177,17,10
1582120097,16,10
1582122037,6,12
1582123940,3,0
1582125861,10,3
1582127786,13,4
1582129698,9,4
1582132600,15,6
1582134506,10,5
1582136428,7,5
1582138337,12,1
1582140259,5,4
1582142194,0,5
1582144093,4,3
1582146198,2,0
1582148174,2,5
1582150138,1,4
1582152012,1,2
1582154003,15,20
1582155861,6,18
1582157793,4,14
1582159715,3,7
1582161620,4,12
1582163568,1,7
1582165478,1,13
1582167377,2,20
1582169315,16,13
1582171550,17,23
1582173374,19,21
1582175308,28,20
1582177234,22,26
1582179138,15,18
1582181076,16,28
1582182978,11,28
1582185146,17,23
1582187058,16,22
1582188994,15,19
1582190902,9,9
1582193158,12,7
1582194977,10,4
1582196912,22,25
1582198842,21,17
1582200744,16,15
1582202682,21,21
1582204646,17,14
1582206500,16,6
1582208435,13,8
1582210332,8,5
1582212279,3,8
1582214194,0,11
1582216102,1,13
1582218214,3,10
