DateTime,Entries,UniqueIPs
1582283719,8544,8544
1582284913,8538,8538
1582286160,8535,8535
1582287256,8529,8529
1582288948,8525,8525
1582290854,8523,8523
1582292549,8519,8519
1582293376,8518,8518
1582294516,8511,8511
1582296467,8507,8507
1582297817,8502,8502
1582298970,8499,8499
1582300112,8498,8498
1582301416,8493,8493
1582303342,8486,8486
1582305257,8485,8485
1582306652,8472,8472
1582307809,8474,8474
1582308854,8469,8469
1582309695,8474,8474
1582311012,8473,8473
1582312456,8474,8474
1582314036,8474,8474
1582316057,8473,8473
1582317633,8468,8468
1582319332,8467,8467
1582321357,8455,8455
1582322177,8456,8456
1582323283,8456,8456
1582324949,8452,8452
1582326620,8449,8449
1582328997,8446,8446
1582330217,8448,8448
1582331296,8450,8450
1582333405,8453,8453
1582335017,8463,8463
1582336572,8465,8465
1582337653,8469,8469
1582339336,8470,8470
1582340538,8472,8472
1582342217,8466,8466
1582342933,8468,8468
1582344618,8467,8467
1582346534,8465,8465
1582348514,8461,8461
1582350134,8447,8447
1582351236,8445,8445
1582352892,8452,8452
1582353731,8443,8443
1582355412,8442,8442
1582356616,8431,8431
1582358175,8432,8432
1582359249,8429,8429
1582361109,8422,8422
1582362916,8421,8421
1582364128,8417,8417
1582365272,8414,8414
1582366513,8413,8413
1582367293,8414,8414
1582368910,8409,8409
1582370052,8407,8407
1582371314,8400,8400
1582372513,8401,8401
1582373715,8401,8401
1582374911,8401,8401
1582376600,8399,8399
1582378092,8401,8401
1582378935,8406,8406
1582379772,8407,8407
1582380850,8399,8399
1582382533,8403,8403
1582384451,8407,8407
1582386030,8407,8407
1582386973,8410,8410
1582388119,8416,8416
1582389914,8426,8426
1582390570,8428,8428
1582391714,8433,8433
1582393333,8433,8433
1582395012,8437,8437
1582396219,8439,8439
1582397710,8450,8450
1582398856,8457,8457
1582400428,8463,8463
1582402450,8472,8472
1582404130,8478,8478
1582405814,8492,8492
1582407018,8495,8495
1582408212,8500,8500
1582409413,8491,8491
1582409653,8492,8492
1582410492,8495,8495
1582412172,8503,8503
1582413314,8506,8506
1582415537,8514,8514
1582416851,8517,8517
1582418430,8527,8527
1582420213,8531,8531
1582422134,8539,8539
1582422989,8541,8541
1582424115,8545,8545
1582425314,8553,8553
1582426533,8556,8556
1582427653,8564,8564
1582429232,8565,8565
1582431018,8570,8570
1582432932,8575,8575
1582433783,8578,8578
1582434851,8579,8579
1582436428,8582,8582
1582437624,8591,8591
1582438451,8594,8594
1582439683,8596,8596
1582441411,8595,8595
1582443015,8590,8590
1582445653,8586,8586
1582446494,8591,8591
1582448664,8596,8596
1582450226,8600,8600
1582450935,8602,8602
1582452614,8606,8606
1582454384,8609,8609
1582456450,8617,8617
1582457783,8620,8620
1582458910,8620,8620
1582460113,8629,8629
