DateTime,Entries,UniqueIPs
1582296461,13117,13117
1582297810,13118,13118
1582298944,13147,13147
1582300109,13080,13080
1582301411,13060,13060
1582301649,13069,13069
1582303333,13013,13013
1582305250,13028,13028
1582306649,13009,13009
1582307806,13036,13036
1582308851,13055,13055
1582309688,13082,13082
1582311009,13059,13059
1582312449,13075,13075
1582314028,13068,13068
1582316051,13083,13083
1582317623,13043,13043
1582319328,13058,13058
1582319650,13066,13066
1582321348,13012,13012
1582322171,13036,13036
1582323280,13014,13014
1582324938,12976,12976
1582326617,13001,13001
1582327690,13031,13031
1582328995,12989,12989
1582330213,13004,13004
1582331292,13050,13050
1582333402,12970,12970
1582335013,12947,12947
1582336569,12954,12954
1582337649,12926,12926
1582339332,12917,12917
1582340521,12947,12947
1582342211,12940,12940
1582342929,12937,12937
1582344613,12951,12951
1582346530,12951,12951
1582347138,12964,12964
1582348510,12975,12975
1582350130,12970,12970
1582351230,12971,12971
1582352889,13012,13012
1582353728,12986,12986
1582355409,12988,12988
1582356612,12967,12967
1582358173,12991,12991
1582359247,12983,12983
1582361107,12963,12963
1582362911,12980,12980
1582364124,12964,12964
1582365270,12990,12990
1582366509,12981,12981
1582367291,13002,13002
1582368907,12975,12975
1582370048,12977,12977
1582371311,12961,12961
1582372509,12977,12977
1582373709,12970,12970
1582374908,12954,12954
1582376598,12948,12948
1582378088,12973,12973
1582378930,12927,12927
1582379769,12944,12944
1582380847,12913,12913
1582382528,12864,12864
1582384448,12866,12866
1582386025,12815,12815
1582386969,12821,12821
1582388115,12818,12818
1582389911,12783,12783
1582390567,12796,12796
1582391713,12784,12784
1582393330,12753,12753
1582395009,12760,12760
1582396209,12733,12733
1582397708,12744,12744
1582398853,12710,12710
1582400423,12695,12695
1582402447,12682,12682
1582404127,12601,12601
1582405809,12599,12599
1582407013,12566,12566
1582408207,12588,12588
1582409408,12575,12575
1582410488,12593,12593
1582412169,12583,12583
1582413311,12561,12561
1582415534,12567,12567
1582416849,12568,12568
1582418427,12556,12556
1582420209,12581,12581
1582422132,12580,12580
1582422984,12594,12594
1582424110,12565,12565
1582425309,12540,12540
1582426531,12538,12538
1582427649,12491,12491
1582429227,12457,12457
1582431013,12461,12461
1582432929,12430,12430
1582433780,12441,12441
1582434848,12439,12439
1582436425,12421,12421
1582437605,12427,12427
1582438448,12446,12446
1582439681,12430,12430
1582441409,12428,12428
1582443012,12429,12429
1582445650,12432,12432
1582446488,12455,12455
1582448662,12405,12405
1582450208,12407,12407
1582450930,12403,12403
1582452610,12424,12424
1582454380,12463,12463
1582456447,12482,12482
1582457780,12455,12455
1582458908,12473,12473
1582460108,12474,12474
1582460888,12485,12485
1582461728,12443,12443
1582463648,12463,12463
1582465329,12453,12453
1582466533,12444,12444
1582468089,12482,12482
1582468929,12432,12432
1582470091,12422,12422
1582471225,12448,12448
1582472324,12428,12428
1582474224,12433,12433
1582474448,12443,12443
1582476054,12410,12410
1582478048,12416,12416
1582479307,12396,12396
1582481648,12417,12417
1582482488,12439,12439
1582484171,12442,12442
1582484433,12427,12427
1582486088,12461,12461
1582486928,12422,12422
1582488617,12544,12544
1582490529,12681,12681
1582491724,12773,12773
1582493111,12888,12888
1582494968,12970,12970
1582496111,13037,13037
1582497728,13107,13107
1582499648,13187,13187
1582501225,13185,13185
1582502855,13184,13184
1582504087,13202,13202
1582504929,13167,13167
1582506609,13161,13161
1582507688,13175,13175
1582509369,13153,13153
1582510511,13133,13133
1582511288,13138,13138
1582512607,13070,13070
1582513810,13058,13058
1582515010,13036,13036
1582515729,13032,13032
1582516568,13041,13041
1582517709,13030,13030
1582518860,13007,13007
1582521253,12984,12984
1582522929,12935,12935
1582524034,12937,12937
1582525214,12958,12958
1582526425,12911,12911
1582527588,12909,12909
1582528812,12950,12950
1582530022,12943,12943
1582532049,13025,13025
1582533730,13047,13047
1582535411,13106,13106
1582537328,13154,13154
1582539248,13203,13203
1582540458,13145,13145
1582541754,13170,13170
1582542847,13207,13207
1582544112,13216,13216
1582545324,13232,13232
1582546526,13229,13229
1582547923,13208,13208
1582549045,13222,13222
1582551767,13195,13195
1582553649,13212,13212
1582555192,13205,13205
1582556875,13180,13180
1582558210,13149,13149
1582560848,13136,13136
1582561689,13167,13167
1582563311,13177,13177
1582563634,13162,13162
1582564812,13192,13192
1582565287,13206,13206
1582568048,13193,13193
1582568889,13208,13208
1582569729,13176,13176
1582570978,13182,13182
1582572322,13230,13230
1582574168,13246,13246
1582575248,13234,13234
1582577109,13203,13203
1582578608,13412,13412
1582579689,13539,13539
1582580853,13579,13579
1582582210,13673,13673
1582583289,13736,13736
1582584928,13765,13765
1582586114,13752,13752
1582587621,13773,13773
1582588571,13799,13799
1582589710,13823,13823
1582591331,13829,13829
1582593014,13861,13861
1582594931,13861,13861
1582595767,13885,13885
1582596910,13889,13889
1582598109,13888,13888
1582600209,13924,13924
1582601429,13920,13920
1582602582,13939,13939
1582603811,13941,13941
1582605009,13936,13936
1582606570,13962,13962
1582607647,13973,13973
1582608488,13991,13991
1582609331,13972,13972
1582610578,13983,13983
1582611766,14022,14022
1582613124,14003,14003
1582613768,14022,14022
1582614924,14019,14019
1582615689,14044,14044
1582617010,14003,14003
1582618232,14009,14009
1582619288,14037,14037
1582620968,14011,14011
1582622047,14002,14002
1582622888,14032,14032
1582624836,13983,13983
1582626011,14021,14021
1582627224,13984,13984
1582629017,14010,14010
1582630436,14009,14009
1582632848,14037,14037
1582634108,14010,14010
1582636079,13995,13995
1582638131,13963,13963
1582639702,13955,13955
1582641010,13923,13923
1582643409,13892,13892
1582645335,13836,13836
1582646169,13843,13843
1582647249,13849,13849
1582648508,13823,13823
1582650847,13803,13803
1582652042,13788,13788
1582654209,13786,13786
1582656132,13774,13774
1582657807,13770,13770
1582659730,13677,13677
1582661649,13629,13629
1582662910,13526,13526
1582664199,13533,13533
1582665323,13493,13493
1582666511,13415,13415
1582668610,13396,13396
1582670109,13366,13366
1582671640,13398,13398
1582672810,13452,13452
1582674132,13470,13470
1582676048,13509,13509
1582677308,13534,13534
1582678521,13562,13562
1582679618,13597,13597
1582680488,13618,13618
1582682168,13627,13627
1582683247,13636,13636
1582684088,13654,13654
1582684929,13649,13649
1582686559,13667,13667
1582687813,13665,13665
1582689309,13715,13715
1582690508,13722,13722
1582691287,13738,13738
1582692910,13743,13743
1582694048,13765,13765
1582695731,13775,13775
1582697649,13805,13805
1582699327,13762,13762
1582701248,13735,13735
1582702509,13659,13659
1582704145,13579,13579
1582704848,13597,13597
1582705993,13516,13516
1582707368,13512,13512
1582708510,13482,13482
1582709854,13403,13403
1582711537,13332,13332
1582712047,13345,13345
1582713621,13224,13224
1582715709,13233,13233
1582717328,13233,13233
1582719247,13255,13255
1582720932,13259,13259
1582722849,13267,13267
1582723689,13288,13288
1582724529,13271,13271
1582726072,13267,13267
1582727232,13293,13293
1582728909,13308,13308
1582730107,13315,13315
1582730889,13327,13327
1582732569,12966,12966
1582733648,12672,12672
1582734488,12696,12696
1582735328,12633,12633
1582737002,12632,12632
1582738928,12610,12610
1582740500,12594,12594
1582741663,12623,12623
1582742527,12530,12530
1582744211,12516,12516
1582745289,12536,12536
1582746608,12486,12486
1582747818,12389,12389
1582749728,12168,12168
1582751648,12124,12124
1582752489,12175,12175
1582754168,12091,12091
1582755308,12045,12045
1582756087,12074,12074
1582756928,11904,11904
1582758849,11886,11886
1582760230,11807,11807
1582762207,11776,11776
1582763373,11744,11744
1582764550,11772,11772
1582766048,11755,11755
1582767621,11690,11690
1582769652,11701,11701
1582770791,11647,11647
1582771899,11657,11657
1582772437,11620,11620
1582773247,11642,11642
1582774361,11587,11587
1582775709,11606,11606
1582776910,11595,11595
1582778709,11528,11528
1582780448,11494,11494
1582782024,11425,11425
1582782970,11453,11453
1582784049,11433,11433
1582785620,11387,11387
1582787410,11403,11403
1582789329,11355,11355
1582791248,11352,11352
1582792774,11315,11315
1582794348,11279,11279
1582795525,11302,11302
1582796709,11249,11249
1582798208,11249,11249
1582799460,11183,11183
1582800609,11191,11191
1582801818,11165,11165
1582802888,11199,11199
1582804041,11183,11183
1582805247,11192,11192
1582805648,11202,11202
1582806910,11188,11188
1582808365,11171,11171
1582809624,11193,11193
1582810945,11166,11166
1582811769,11192,11192
1582812912,11183,11183
1582813687,11203,11203
1582814528,11152,11152
1582815370,11181,11181
1582816511,11200,11200
1582818132,11214,11214
1582819524,11220,11220
1582820888,11303,11303
1582821729,11303,11303
1582822844,11322,11322
1582823969,11374,11374
1582825328,11350,11350
1582827250,11363,11363
1582828087,11393,11393
1582829408,11396,11396
1582830612,11408,11408
1582832529,11398,11398
1582833861,11373,11373
1582835288,11407,11407
1582838050,11353,11353
1582839347,11348,11348
1582840509,11364,11364
1582841707,11346,11346
1582843328,11298,11298
1582845247,11335,11335
1582846508,11343,11343
1582847708,11364,11364
1582848909,11383,11383
1582850108,11389,11389
1582852001,11387,11387
1582853288,11415,11415
1582854968,11377,11377
1582856109,11366,11366
1582857729,11302,11302
1582859648,11300,11300
1582860909,11282,11282
1582862135,11289,11289
1582863250,11290,11290
1582864467,11264,11264
1582865768,11269,11269
1582866850,11252,11252
1582867687,11272,11272
1582868530,11227,11227
1582869378,11259,11259
1582870509,11251,11251
1582872132,11223,11223
1582872967,11242,11242
1582874048,11237,11237
1582875324,11209,11209
1582877418,11196,11196
1582878488,11234,11234
1582880169,11204,11204
