DateTime,AddedIPs,RemovedIPs
1581940579,15,8
1581942484,33,7
1581944410,18,14
1581946342,23,16
1581948510,22,11
1581950410,22,16
1581952333,21,14
1581954265,18,11
1581956412,19,17
1581958328,21,11
1581960269,26,16
1581962166,15,11
1581964086,30,17
1581966038,12,13
1581967931,13,7
1581969852,22,15
1581971788,20,13
1581973702,11,11
1581975629,25,0
1581977529,26,12
1581979468,32,14
1581981370,29,25
1581983290,28,23
1581985206,30,14
1581987127,25,30
1581989077,29,0
1581990967,28,29
1581992905,36,34
1581996726,32,63
1581998901,23,21
1582000809,24,0
1582002751,29,20
1582004647,28,22
1582006569,28,22
1582008508,29,27
1582010407,29,28
1582012325,25,18
1582014267,39,26
1582016167,35,25
1582018087,16,16
1582024100,20,56
1582026010,20,30
1582027956,27,14
1582029848,38,25
1582031772,30,13
1582033710,34,16
1582035607,26,22
1582037525,25,20
1582039464,20,19
1582041366,22,15
1582043288,28,12
1582045221,33,16
1582047129,24,22
1582049298,28,13
1582051209,20,33
1582053144,30,9
1582055049,28,16
1582056970,25,19
1582058906,39,15
1582060804,31,8
1582062739,20,22
1582064646,32,26
1582066578,20,28
1582068486,28,26
1582070427,23,36
1582072331,16,29
1582074754,26,30
1582076648,23,29
1582078573,38,20
1582080503,31,35
1582082405,24,0
1582084328,19,33
1582086263,30,26
1582088167,19,28
1582090085,25,27
1582093928,30,57
1582096098,24,24
1582098009,27,26
1582099947,31,26
1582101848,30,38
1582103794,15,31
1582107636,26,12
1582109539,28,0
1582111458,20,18
1582113383,19,16
1582115291,21,27
1582117211,29,30
1582121320,26,63
1582123209,27,23
1582125132,24,25
1582127064,27,17
1582128967,27,22
1582130891,30,27
1582132821,26,32
1582136647,32,49
1582138580,19,21
1582140484,39,31
1582142412,18,31
1582144344,35,27
1582146514,28,42
1582148411,24,29
1582150580,19,21
1582152492,31,38
1582154415,32,19
1582156326,27,35
1582158262,32,26
1582160165,24,18
1582162085,30,29
1582164019,27,25
1582165933,25,33
1582167864,21,30
1582171707,32,47
1582173649,28,27
1582175531,36,28
1582177463,23,33
1582179372,31,0
1582181292,30,34
1582183226,15,22
1582185135,33,28
1582187047,39,30
1582188979,20,31
1582190887,15,13
1582194747,37,30
1582196656,22,30
1582198569,33,27
1582200503,34,23
1582202414,37,19
1582204329,21,25
1582206262,30,0
1582208169,28,25
1582210092,33,25
1582212018,30,29
1582213928,29,32
1582215846,28,25
1582217777,30,32
1582219683,31,29
1582221608,26,0
1582223538,28,33
1582225454,26,19
1582229297,18,58
1582231208,20,38
1582233141,24,26
1582235046,29,25
1582238901,38,48
1582240804,44,0
1582242723,30,24
1582244661,31,30
1582246565,36,31
1582248483,28,25
1582250419,27,30
1582252327,34,29
1582254497,31,52
1582256409,38,0
1582258589,29,31
1582260492,22,22
1582262414,29,25
1582264337,33,26
1582266271,41,32
1582268178,27,28
1582270087,24,13
1582272025,35,31
1582273928,30,39
1582275850,26,23
1582277780,24,17
1582279957,29,0
1582281863,32,36
1582283774,34,18
1582285694,30,28
1582287606,11,35
1582289525,14,34
1582293365,26,58
1582295284,30,27
1582297220,30,25
1582302979,26,91
1582304896,22,35
1582306811,29,26
1582308745,25,25
1582312568,26,51
1582314503,30,0
1582316404,34,14
1582318324,39,20
1582320262,35,28
1582322165,16,31
