DateTime,Entries,UniqueIPs
1581940579,1053,1116
1581942484,1076,1142
1581944410,1079,1146
1581946342,1080,1153
1581948510,1090,1164
1581950410,1092,1170
1581952333,1098,1177
1581954265,1102,1184
1581956412,1103,1186
1581958328,1113,1196
1581960269,1123,1206
1581962166,1127,1210
1581964086,1137,1223
1581966038,1136,1222
1581967931,1139,1228
1581969852,1147,1235
1581971788,1154,1242
1581973702,1152,1242
1581975629,1174,1267
1581977529,1188,1281
1581979468,1205,1299
1581981370,1213,1303
1581983290,1219,1308
1581985206,1234,1324
1581987127,1236,1319
1581989077,1261,1348
1581990967,1259,1347
1581992905,1267,1349
1581996726,1230,1318
1581998901,1235,1320
1582000809,1257,1344
1582002751,1264,1353
1582004647,1267,1359
1582006569,1274,1365
1582008508,1283,1367
1582010407,1283,1368
1582012325,1290,1375
1582014267,1298,1388
1582016167,1308,1398
1582018087,1308,1398
1582024100,1278,1362
1582026010,1268,1352
1582027956,1278,1365
1582029848,1286,1378
1582031772,1305,1395
1582033710,1322,1413
1582035607,1319,1417
1582037525,1320,1422
1582039464,1317,1423
1582041366,1325,1430
1582043288,1337,1446
1582045221,1357,1463
1582047129,1358,1465
1582049298,1373,1480
1582051209,1360,1467
1582053144,1381,1488
1582055049,1392,1500
1582056970,1398,1506
1582058906,1422,1530
1582060804,1445,1553
1582062739,1443,1551
1582064646,1448,1557
1582066578,1441,1549
1582068486,1440,1551
1582070427,1426,1538
1582072331,1412,1525
1582074754,1406,1521
1582076648,1403,1515
1582078573,1424,1533
1582080503,1418,1529
1582082405,1442,1553
1582084328,1429,1539
1582086263,1432,1543
1582088167,1425,1534
1582090085,1423,1532
1582093928,1400,1505
1582096098,1401,1505
1582098009,1401,1506
1582099947,1408,1511
1582101848,1402,1503
1582103794,1384,1487
1582107636,1398,1501
1582109539,1425,1529
1582111458,1427,1531
1582113383,1430,1534
1582115291,1429,1528
1582117211,1428,1527
1582121320,1390,1490
1582123209,1399,1494
1582125132,1400,1493
1582127064,1411,1503
1582128967,1420,1508
1582130891,1420,1511
1582132821,1415,1505
1582136647,1398,1488
1582138580,1397,1486
1582140484,1404,1494
1582142412,1392,1481
1582144344,1400,1489
1582146514,1385,1475
1582148411,1378,1470
1582150580,1377,1468
1582152492,1367,1461
1582154415,1375,1474
1582156326,1366,1466
1582158262,1373,1472
1582160165,1380,1478
1582162085,1383,1479
1582164019,1385,1481
1582165933,1379,1473
1582167864,1371,1464
1582171707,1361,1449
1582173649,1360,1450
1582175531,1364,1458
1582177463,1354,1448
1582179372,1385,1479
1582181292,1383,1475
1582183226,1377,1468
1582185135,1382,1473
1582187047,1393,1482
1582188979,1382,1471
1582190887,1384,1473
1582194747,1393,1480
1582196656,1388,1472
1582198569,1393,1478
1582200503,1403,1489
1582202414,1419,1507
1582204329,1414,1503
1582206262,1440,1533
1582208169,1444,1536
1582210092,1452,1544
1582212018,1450,1545
1582213928,1447,1542
1582215846,1448,1545
1582217777,1455,1543
1582219683,1462,1545
1582221608,1486,1571
1582223538,1476,1566
1582225454,1483,1573
1582229297,1443,1533
1582231208,1425,1515
1582233141,1423,1513
1582235046,1431,1517
1582238901,1419,1507
1582240804,1459,1551
1582242723,1462,1557
1582244661,1456,1558
1582246565,1457,1563
1582248483,1461,1566
1582250419,1456,1563
1582252327,1461,1568
1582254497,1448,1547
1582256409,1486,1585
1582258589,1480,1583
1582260492,1480,1583
1582262414,1481,1587
1582264337,1487,1594
1582266271,1496,1603
1582268178,1496,1602
1582270087,1507,1613
1582272025,1511,1617
1582273928,1504,1608
1582275850,1507,1611
1582277780,1516,1618
1582279957,1544,1647
1582281863,1541,1643
1582283774,1555,1659
1582285694,1559,1661
1582287606,1538,1637
1582289525,1518,1617
1582293365,1485,1585
1582295284,1489,1588
1582297220,1494,1593
1582302979,1435,1528
1582304896,1424,1515
1582306811,1427,1518
1582308745,1424,1518
1582312568,1399,1493
1582314503,1429,1523
1582316404,1450,1543
1582318324,1466,1562
1582320262,1475,1569
1582322165,1462,1554
1582324088,1493,1586
1582326021,1484,1577
1582327927,1460,1554
1582330099,1466,1556
1582332008,1463,1555
1582333941,1465,1550
1582335846,1461,1549
1582337771,1456,1542
1582339703,1448,1533
1582345462,1370,1451
1582347366,1382,1464
1582349285,1388,1473
1582351233,1390,1479
1582353126,1372,1462
1582355299,1387,1477
1582357210,1388,1480
1582359143,1383,1475
1582361047,1397,1490
1582362990,1386,1478
1582364893,1383,1475
1582366819,1386,1477
1582368726,1387,1476
1582370648,1390,1482
1582372578,1393,1481
1582374488,1397,1485
1582376407,1410,1502
1582378341,1430,1522
1582380251,1428,1520
1582382168,1426,1519
1582384102,1415,1510
