DateTime,AddedIPs,RemovedIPs
1581940579,40,49
1581942484,46,38
1581944410,44,48
1581946342,42,39
1581948510,41,41
1581950410,44,40
1581952333,46,49
1581954265,40,44
1581956412,44,41
1581958328,40,43
1581960269,46,43
1581962166,31,47
1581964086,61,26
1581966038,32,62
1581967931,40,30
1581969852,53,40
1581971788,41,50
1581973702,26,40
1581975629,47,31
1581977529,54,47
1581979468,63,54
1581981370,60,63
1581983290,63,56
1581985206,62,64
1581987127,58,63
1581989077,59,56
1581990967,55,60
1581992905,61,59
1581996726,65,60
1581998901,55,61
1582000809,54,57
1582002751,63,56
1582004647,60,65
1582006569,62,59
1582008508,54,62
1582010407,64,52
1582012325,47,66
1582014267,68,50
1582016167,63,64
1582018087,25,67
1582024100,48,24
1582026010,41,43
1582027956,49,45
1582029848,73,51
1582031772,55,71
1582033710,67,56
1582035607,55,63
1582037525,54,57
1582039464,47,53
1582041366,56,49
1582043288,55,56
1582045221,61,55
1582047129,53,60
1582049298,53,50
1582051209,57,55
1582053144,59,55
1582055049,66,62
1582056970,59,67
1582058906,68,56
1582060804,63,70
1582062739,57,58
1582064646,61,56
1582066578,53,67
1582068486,63,49
1582070427,54,62
1582072331,52,55
1582074754,61,54
1582076648,57,60
1582078573,66,58
1582080503,54,68
1582082405,55,52
1582084328,52,49
1582086263,61,59
1582088167,61,63
1582090085,56,59
1582093928,61,57
1582096098,46,59
1582098009,56,46
1582099947,61,54
1582101848,59,67
1582103794,31,60
1582107636,52,29
1582109539,55,51
1582111458,54,55
1582113383,43,53
1582115291,43,45
1582117211,60,45
1582121320,54,55
1582123209,52,56
1582125132,49,51
1582127064,55,46
1582128967,58,60
1582130891,60,56
1582132821,59,58
1582136647,52,62
1582138580,41,54
1582140484,67,40
1582142412,58,64
1582144344,67,58
1582146514,55,66
1582148411,57,53
1582150580,51,62
1582152492,62,49
1582154415,59,63
1582156326,53,58
1582158262,60,53
1582160165,60,58
1582162085,59,63
1582164019,54,60
1582165933,57,53
1582167864,43,55
1582171707,54,47
1582173649,55,51
1582175531,59,54
1582177463,52,56
1582179372,62,55
1582181292,49,66
1582183226,52,50
1582185135,64,49
1582187047,60,64
1582188979,48,60
1582190887,33,48
1582194747,70,35
1582196656,46,70
1582198569,56,45
1582200503,63,54
1582202414,58,59
1582204329,42,63
1582206262,62,46
1582208169,61,58
1582210092,56,61
1582212018,55,55
1582213928,50,53
1582215846,58,55
1582217777,58,60
1582219683,56,57
1582221608,62,54
1582223538,56,60
1582225454,52,54
1582229297,28,55
1582231208,44,30
1582233141,57,42
1582235046,63,54
1582238901,59,65
1582240804,74,60
1582242723,71,75
1582244661,63,71
1582246565,68,58
1582248483,68,71
1582250419,57,64
1582252327,59,59
1582254497,63,56
1582256409,64,66
1582258589,57,70
1582260492,56,55
1582262414,58,56
1582264337,61,58
1582266271,70,60
1582268178,59,71
1582270087,49,58
1582272025,59,52
1582273928,53,54
1582275850,56,55
1582277780,49,55
1582279957,54,47
1582281863,57,58
1582283774,59,53
1582285694,46,63
1582287606,33,44
1582289525,36,34
1582293365,56,37
1582295284,58,52
1582297220,62,60
1582302979,54,60
1582304896,59,50
1582306811,58,67
1582308745,64,60
1582312568,51,60
1582314503,50,51
1582316404,49,53
1582318324,64,50
1582320262,62,59
1582322165,34,62
1582324088,65,39
1582326021,56,61
1582327927,42,58
1582330099,53,40
1582332008,56,52
1582333941,60,58
1582335846,61,60
1582337771,46,56
1582339703,61,48
1582345462,63,62
1582347366,66,64
1582349285,69,67
1582351233,63,73
1582353126,61,61
1582355299,56,57
1582357210,56,56
1582359143,64,57
1582361047,57,66
1582362990,38,58
1582364893,53,39
1582366819,54,51
1582368726,56,53
1582370648,64,56
1582372578,49,67
1582374488,51,48
1582376407,58,48
1582378341,51,56
1582380251,54,54
1582382168,58,55
1582384102,52,55
1582386013,57,54
1582387938,58,57
1582389860,64,56
1582391769,56,70
1582393695,60,52
1582395620,47,58
1582397545,66,50
1582399447,60,63
1582403284,70,64
1582405211,56,69
1582407141,56,51
1582409314,57,60
1582411211,45,50
1582415047,48,49
1582416970,55,51
1582418904,66,52
1582420807,53,70
1582422724,65,51
1582424658,67,61
1582426567,58,73
1582428487,60,57
1582430419,63,62
1582432327,68,60
1582434495,44,72
1582436408,68,42
1582438346,68,67
1582440248,68,72
1582442168,73,67
1582444102,68,71
1582446010,64,70
1582447925,66,61
1582449860,23,69
1582451765,27,25
1582453932,54,23
1582456097,43,51
1582458009,43,44
1582459968,43,46
1582461851,54,45
1582463774,50,49
1582465703,71,56
1582467606,63,68
1582469528,65,63
1582471459,63,65
1582473367,40,58
1582475289,60,45
1582477226,61,61
1582479131,56,58
1582481303,66,57
1582483210,59,67
1582485148,59,58
1582487053,63,60
1582488974,64,62
1582490900,49,63
1582492808,44,43
1582494726,66,52
1582496659,51,60
1582498565,53,52
1582500484,61,53
1582502424,51,64
1582504328,61,51
1582506503,59,60
1582510343,61,58
1582512258,55,62
1582514170,61,53
1582516111,51,57
1582518008,52,52
1582519935,60,53
1582521867,64,64
1582523792,62,63
1582525688,60,66
1582527632,65,59
1582529567,59,65
1582531458,65,57
1582533380,56,70
1582535296,60,54
1582537212,43,59
1582539149,52,42
1582542974,31,54
1582544907,64,29
1582548727,54,65
1582550666,63,57
1582552567,48,61
1582554504,55,48
1582556411,72,55
1582558359,33,72
1582562174,31,36
1582564108,23,30
1582566016,23,23
1582567934,23,24
1582570113,65,21
1582572007,55,59
1582573933,55,57
1582575862,68,59
1582577773,59,66
1582579689,58,58
1582581626,58,59
1582583530,56,57
1582585460,55,56
1582587386,60,54
1582589306,61,61
1582591212,56,61
1582593159,66,56
1582595051,60,67
1582596977,63,61
1582598904,69,60
1582602726,53,70
1582604665,61,50
1582606566,66,63
1582608492,62,69
1582610421,63,59
1582612335,56,61
1582614498,58,59
1582616409,61,58
1582618340,59,61
1582620252,63,57
1582622411,41,69
1582624349,57,39
1582626263,52,54
1582628166,59,54
1582630332,65,57
1582632251,51,64
1582634180,45,44
1582636099,49,49
1582639942,44,57
1582641849,49,41
1582643768,20,49
1582645701,28,25
1582647618,33,26
1582649531,14,34
1582651451,37,14
1582653378,60,36
1582655289,59,59
1582657211,52,60
1582661309,50,49
1582663211,48,45
1582665132,65,54
1582668970,63,62
1582670891,70,67
1582672817,52,69
1582674731,63,49
1582676659,53,64
1582678569,57,55
1582680489,59,54
1582682428,60,60
1582684333,52,56
1582686499,64,56
1582688411,51,64
1582690343,61,50
1582692249,56,62
1582694182,62,55
1582696094,52,61
1582698006,47,56
1582699941,52,46
1582702088,66,53
1582704009,58,65
1582705944,66,54
1582707853,64,70
1582709769,48,64
1582711703,33,49
1582713609,35,31
1582715535,34,36
1582717462,65,37
1582719638,31,67
1582721541,49,29
1582723453,53,47
1582725379,53,53
1582727297,59,50
1582729223,47,59
1582731134,27,48
1582733065,26,30
1582736908,40,23
1582738809,44,40
1582740732,52,37
1582742665,50,58
1582744570,54,50
1582748420,57,56
1582750327,44,54
1582752249,62,44
1582754177,64,63
1582756088,63,62
1582758013,57,66
1582759941,57,58
1582763768,66,56
1582765711,57,63
1582769545,55,59
1582771449,60,54
1582773371,57,66
1582775306,57,49
1582777206,54,57
1582779127,65,54
1582781061,74,74
1582782968,67,68
1582786819,39,68
1582789704,56,42
1582791605,38,55
1582793530,69,36
1582795459,61,71
1582797369,52,62
1582799285,66,52
1582801222,53,64
1582803125,46,55
1582805304,50,42
1582807208,68,50
1582811046,63,72
1582812973,68,65
1582815144,44,62
1582817047,65,47
1582818980,51,66
1582820886,69,53
1582822809,60,65
1582824740,48,57
1582826653,57,45
1582828568,64,62
1582830511,53,62
1582832409,43,53
1582834579,58,45
1582836488,58,58
1582838417,52,56
1582840327,51,53
1582842248,53,53
1582844176,52,53
1582846084,58,53
1582848006,60,56
1582849940,64,63
1582852109,50,62
1582854014,43,48
1582855931,59,44
1582857860,54,52
1582859773,52,60
1582861693,66,51
1582863607,70,71
1582865541,63,70
1582867450,67,60
1582869367,63,71
1582871301,73,63
1582873217,58,72
1582875151,57,56
1582877310,51,55
1582879210,58,52
1582881131,60,57
1582883058,65,61
1582884971,61,70
1582886889,59,58
1582888816,62,56
1582890727,62,66
1582892647,60,60
1582894580,60,60
1582896487,46,59
1582898413,53,49
1582900343,57,52
1582902515,50,53
1582904410,36,52
1582906333,58,40
1582908269,57,57
1582910168,54,57
1582912089,43,47
1582914017,59,49
1582917848,55,59
1582919778,56,52
1582921686,63,61
1582923610,31,63
1582925541,64,28
1582927451,54,62
1582929368,60,58
1582931308,55,57
1582935140,57,53
1582937057,52,59
1582938970,54,49
1582940887,64,55
1582942815,61,68
1582944725,48,56
1582946647,48,48
1582948587,47,50
1582950488,49,47
1582952463,53,51
1582954339,56,51
1582956250,61,55
1582958167,58,62
1582960100,45,57
1582962010,61,51
1582963934,58,58
1582965859,59,61
1582967770,32,59
1582969689,31,34
1582971616,21,30
1582973523,28,18
1582975464,20,32
