DateTime,AddedIPs,RemovedIPs
1582175531,24,13
1582177463,17,26
1582177502,144,0
1582179372,20,0
1582181292,191,19
1582183226,4,10
1582185135,215,13
1582187047,26,18
1582188979,11,20
1582190887,12,6
1582191902,280,0
1582194747,25,18
1582196656,8,10
1582198569,22,10
1582199101,305,0
1582200503,20,15
1582202414,23,15
1582204329,11,17
1582206262,19,0
1582206302,269,0
1582208169,12,12
1582210092,16,16
1582212018,18,20
1582213928,336,19
1582215846,19,16
1582217777,21,19
1582218972,735,812
1582219683,20,15
1582220701,328,0
1582221608,9,0
1582223538,13,20
1582225454,17,11
1582227902,303,0
1582229297,10,37
1582231208,11,18
1582233141,15,14
1582235046,19,9
1582238901,169,25
1582240804,229,0
1582242488,39,57
1582242723,15,13
1582244661,19,10
1582246565,128,19
1582248483,17,11
1582250166,31,64
1582250419,208,3591
1582252327,25,14
1582254014,39,77
1582254497,113,29
1582256409,26,0
1582258090,163,0
1582258589,20,16
1582260492,15,16
1582261202,114,0
1582262414,22,17
1582264337,25,14
1582264802,150,0
1582266271,35,24
1582268178,14,14
1582268403,151,0
1582270087,15,5
1582272025,25,20
1582273928,204,23
1582275850,18,12
1582277780,12,7
1582279957,392,0
1582281863,21,19
1582283774,23,8
1582285694,20,21
1582286402,251,0
1582287606,4,18
1582289525,8,22
1582293365,18,34
1582294502,309,0
1582295284,15,12
1582297220,18,13
1582298102,181,0
1582301702,136,0
1582302979,12,55
1582304896,12,24
1582305302,140,0
1582306811,19,20
1582308745,14,9
1582311126,758,1479
1582312568,16,24
1582314503,246,0
1582316404,22,8
1582318324,25,13
1582320262,282,13
1582322165,9,17
1582324088,16,0
1582326021,14,21
1582327448,154,0
1582327927,7,25
1582330099,18,10
1582330501,222,3454
1582332008,15,18
1582333941,27,20
1582335128,38,0
1582335846,14,19
1582337771,11,18
1582338966,154,0
1582339703,17,25
1582345462,179,72
1582345802,237,0
1582346651,17,34
1582347366,23,18
1582349285,29,24
1582351233,24,19
1582353126,20,38
1582353902,306,0
1582355299,26,12
1582357210,18,13
1582357501,133,0
1582359143,19,25
1582361047,21,16
1582362990,19,17
1582364893,18,11
1582366819,410,14
1582368726,26,15
1582370648,18,16
1582372578,140,14
1582374488,14,12
1582376407,274,7
1582378341,9,0
1582380251,12,12
1582382168,15,15
1582383602,306,0
1582384102,11,14
1582386013,18,0
1582387202,118,0
1582387938,15,0
1582389860,24,12
1582390802,108,0
1582391769,16,11
1582393695,16,16
1582394402,104,0
1582395620,18,13
1582397545,26,0
1582398002,116,0
1582399447,20,12
1582401602,108,0
1582402570,845,785
1582403284,29,38
1582405211,21,26
1582407141,15,19
1582409314,13,10
1582411211,299,19
1582415047,8,17
1582416254,32,71
1582416970,100,15
1582418904,13,14
1582419602,200,3220
1582420807,11,25
1582422724,17,8
1582423931,49,93
1582424658,31,12
1582426567,20,21
1582427701,262,0
1582428487,12,0
1582430419,27,0
1582431607,110,0
1582432327,21,16
1582434495,9,21
1582436408,20,24
1582438346,22,22
1582440248,162,19
1582442168,27,19
1582444102,160,15
1582446010,17,19
1582446601,223,0
1582447925,26,21
1582449860,10,16
1582451765,9,15
1582453932,11,21
1582456097,244,21
1582458009,15,18
1582459968,11,13
1582461002,218,0
1582461851,16,14
1582463774,20,16
1582465703,23,10
1582467606,19,11
1582469528,113,13
1582471459,24,10
1582471802,252,0
1582473367,7,15
1582475289,30,16
1582477226,22,20
1582479131,21,20
1582481303,121,13
1582483210,18,21
1582483502,239,0
1582485148,20,21
1582487053,29,19
1582488974,24,0
1582490900,22,23
1582492808,198,21
1582494730,788,837
1582496659,15,11
1582497901,196,0
1582498565,12,10
1582500484,16,0
1582500730,36,0
1582502424,11,7
1582504328,16,12
1582505102,179,3050
1582506503,13,15
1582508407,31,0
1582510343,17,28
1582512258,43,88
1582512301,242,0
1582514170,13,20
1582516111,23,19
1582518008,17,19
1582519935,135,17
1582521867,18,11
1582523792,24,23
1582524002,250,0
1582525688,24,23
1582527632,20,30
1582529567,164,26
1582531458,158,23
1582533380,13,19
1582534802,140,0
1582535296,20,25
1582537212,12,10
1582538402,115,0
1582539149,18,9
1582542002,150,0
1582542974,13,26
1582544907,27,12
1582548727,14,24
1582549202,329,0
1582550666,26,18
1582552567,11,20
1582554504,20,17
1582556411,26,16
1582558359,354,24
1582562174,10,36
1582562890,711,0
1582564108,193,19
1582566016,179,18
1582567934,4,26
1582570113,16,18
1582572007,184,18
1582573933,21,21
1582575301,355,0
1582575862,22,23
1582577773,19,23
1582578902,152,0
1582579689,19,14
1582581626,14,22
1582583530,15,12
1582585460,48,50
1582586102,252,0
1582587386,14,22
1582589306,26,15
1582591212,18,17
1582593159,24,9
1582593302,232,2677
1582595051,23,0
1582596977,85,69
1582598904,18,17
1582602726,166,20
1582604665,38,50
1582605002,281,0
1582606566,18,15
1582608492,13,15
1582608602,138,0
1582610421,16,20
1582612335,22,26
1582614498,26,16
1582616409,338,16
1582618340,17,24
1582620252,20,15
1582621945,714,768
1582622411,11,16
1582624349,170,14
1582626263,18,16
1582626602,255,0
1582628166,10,0
1582629862,722,0
1582630332,14,11
1582632251,9,23
1582634180,176,0
1582636099,11,10
1582638302,270,0
1582639942,8,32
1582641849,13,12
1582643768,5,26
1582645701,8,10
1582647618,123,0
1582649531,7,11
1582651451,275,8
1582653378,16,6
1582655289,22,5
1582657211,236,15
1582661309,535,30
1582663211,12,19
1582664402,139,0
1582665132,14,16
1582668970,17,28
1582670891,13,16
1582671602,240,0
1582672817,10,18
1582674007,29,64
1582674731,10,13
1582675202,111,3348
1582676659,18,25
1582678569,20,18
1582680489,26,22
1582681686,33,0
1582682428,13,18
1582684333,299,22
1582685526,30,57
1582686499,18,16
1582688411,11,0
1582689367,17,0
1582690343,165,13
1582692249,152,14
1582694182,17,14
1582696094,13,10
1582698006,159,17
1582699941,13,25
1582701302,404,0
1582702088,25,21
1582704009,15,11
1582705944,20,14
1582707853,25,16
1582708502,330,0
1582709769,12,12
1582711703,10,10
1582713609,11,19
1582715535,9,12
1582715701,316,0
1582717462,23,15
1582719638,177,8
1582721544,730,2146
1582723453,20,10
1582725379,13,0
1582726502,364,0
1582727297,14,7
1582729223,16,9
1582731134,10,8
1582733065,3,8
1582734602,304,0
1582736908,16,11
1582738202,162,0
1582738809,13,10
1582740732,15,15
