DateTime,AddedIPs,RemovedIPs
1581811557,1,0
1581813843,36,36
1581817443,5,1
1581817683,36,36
1581821522,862,892
1581822241,6234,6360
1581825963,1,0
1581828474,7,0
1581829203,853,840
1581833283,4243,4240
1581834970,1,1
1581837363,425,412
1581838957,7,0
1581843841,2931,2875
1581845042,599,612
1581847556,9,0
1581849611,8,0
1581851164,78,40
1581852722,259,257
1581854641,4154,4128
1581856562,330,331
1581860489,5,1
1581862510,253,0
1581864266,41,35
1581865441,4867,4866
1581868083,318,358
1581871318,6,0
1581875763,138,125
1581876241,5411,5399
1581879958,1,0
1581882166,6,6
1581883682,183,198
1581887041,5820,5803
1581887163,1,0
1581890762,0,10
1581891362,194,203
1581893258,6,2
1581894357,1,0
1581895203,70,67
1581897841,6116,6118
1581904140,3,5
1581906722,863,820
1581908641,6475,6609
1581914402,787,862
1581914912,3,3
1581918243,849,786
1581919441,2967,2874
1581922083,644,628
1581923152,1,0
1581925924,630,648
1581929762,809,785
1581930241,3188,3148
1581930910,0,15
1581933603,238,238
1581933967,12,0
1581936704,9,3
1581937709,238,237
1581938110,72,48
1581941041,4380,4365
1581945362,114,119
1581947650,3,3
1581949203,127,123
1581951841,5138,5129
1581952328,66,53
1581953411,256,0
1581956883,55,56
1581958763,4,2
1581960723,95,93
1581962641,5644,5644
1581964562,34,35
1581968402,72,70
1581969413,4,1
1581972242,26,28
1581973441,6012,6031
1581975011,0,24
1581976082,28,26
1581979923,76,86
1581980192,2,3
1581980384,5,5
1581980812,3,0
1581984241,6427,6420
1581991442,81,79
1581995523,7647,7786
1582002177,1,0
1582003203,896,861
1582005841,2964,2924
1582010888,480,507
1582013191,4,2
1582014722,507,496
1582016641,3386,3340
1582018563,401,404
1582020344,1,0
1582022402,281,279
1582024103,1,2
1582024290,96,21
1582027441,4526,4512
1582030082,369,371
1582035242,1,5
1582037763,178,193
1582038241,5351,5327
1582040181,45,37
1582045683,79,80
1582046067,5,4
1582049041,5869,5845
1582053365,112,112
1582056341,0,12
1582057203,122,124
1582059841,6398,6389
1582059939,1,0
1582061042,28,27
1582063543,14,0
1582064883,27,28
1582067599,5,0
1582068723,176,177
1582070641,6656,6653
1582072562,31,32
1582077942,1,0
1582078372,9,1
1582081441,7003,7137
1582087922,876,878
1582089017,0,4
1582092241,3061,3026
1582095603,849,858
1582099683,361,362
1582099898,4,2
1582100111,0,8
1582103041,3428,3360
1582103158,1,0
1582106741,12,0
1582107603,386,385
1582110339,79,52
1582111461,9,2
1582113841,4557,4536
1582115282,320,320
1582119123,82,87
1582121249,4,0
1582121934,1,0
1582122963,162,155
1582124641,5035,5034
1582128010,52,36
1582132284,8,7
1582134483,136,147
1582135441,5857,5847
1582138322,29,27
1582143231,9,44
1582145111,256,0
1582146007,85,92
1582146241,6229,6226
1582146345,8,0
1582149937,1,0
1582153923,139,149
1582154390,3,5
1582157041,6658,6650
1582161602,69,64
1582165045,1,2
1582167940,7011,7157
1582169283,881,859
1582175720,3,0
1582176962,866,875
1582178641,2970,2935
1582184643,532,521
1582185961,1,0
1582186822,1,15
1582189441,3282,3236
1582192323,182,186
1582196466,63,75
1582197395,1,4
1582198809,2,2
1582200002,547,553
1582200241,4366,4365
1582203843,187,176
1582207683,176,187
1582208111,262,1
1582211041,5072,5054
1582215363,38,43
1582216091,345,485
1582217651,1,2
1582219202,89,85
1582221871,5597,5586
1582221942,1,0
1582225543,1,0
1582226882,101,97
1582229143,4,36
1582230735,18,20
1582232794,5977,5974
1582238642,90,81
1582238708,4,2
1582242507,1,1
1582243441,6347,6337
1582246322,44,49
1582247144,1,0
1582249644,3,4
1582250162,891,867
1582254241,6729,6870
1582260707,4,1
1582261545,1,0
1582265041,1166,1158
1582265146,4,0
1582265763,881,887
1582269603,236,239
1582272096,1,4
1582272372,0,19
1582273442,239,236
1582275970,1,0
1582277282,331,326
1582279543,8,0
1582283046,141,46
1582283543,2,0
1582284962,271,268
1582286182,1,2
1582290267,2,2
1582290341,1,0
1582291092,0,256
1582293944,1,0
1582297537,1,0
1582300322,218,207
1582301229,2,2
1582303927,42,34
1582304740,1,0
1582308002,41,41
1582312083,75,80
1582312329,3,4
1582313411,255,0
1582316539,0,27
1582322818,3,0
1582323603,198,199
1582326346,1,0
1582333577,1,1
1582335123,85,96
1582344154,1,1
1582346642,885,882
1582354791,1,3
1582355140,2,0
1582358164,689,686
1582358757,8,0
1582360036,0,29
1582362002,461,465
1582362985,2,0
1582365769,1,1
1582365938,7,0
1582370314,82,31
1582376852,4,2
1582376954,3,0
1582380338,3,0
1582381683,339,346
1582384512,763,254
1582385522,1,1
1582387660,2,0
1582389362,251,277
1582391140,1,0
1582392248,35,29
1582394738,6,0
1582397043,45,47
1582398155,2,3
1582400882,198,216
1582401938,1,0
1582404122,0,29
1582404723,76,58
1582408563,58,76
1582409080,1,1
1582409135,1,0
1582412403,107,112
1582412742,1,0
1582416243,42,46
1582416340,1,0
1582420083,98,93
1582420316,1,0
1582428612,255,0
1582430717,1,1
1582434340,2,0
1582435443,836,816
1582437942,4,0
1582441246,3,2
1582441607,3,0
1582443122,1,1
1582446412,0,4
1582446963,550,525
1582452342,1,1
1582453029,4,0
1582455995,105,30
1582458482,382,369
1582459538,1,0
1582461437,2,4
1582462322,105,103
1582466734,1,0
1582470003,244,278
1582470437,1,0
1582472161,3,1
1582474029,0,256
1582480103,47,31
1582481522,157,184
1582482928,4,1
1582489203,53,58
1582491936,3,0
1582493043,52,53
1582493976,5,4
1582496882,217,227
1582504563,48,43
1582504959,4,1
1582508402,887,811
1582509937,1,0
1582513486,7660,7533
1582516082,89,90
1582520740,1,0
1582524241,7031,7051
1582526510,4,3
1582531443,874,868
1582534007,0,3
1582535041,3535,3494
1582536384,4,5
1582539123,438,415
1582542340,107,31
1582545841,4632,4602
1582546803,199,207
1582547139,3,2
1582553883,3,0
1582556641,5475,5487
1582557846,5,1
1582558323,172,183
1582567441,5805,5789
1582567929,55,30
1582568873,4,2
1582570083,95,104
1582573923,33,39
