DateTime,AddedIPs,RemovedIPs
1582540921,4,0
1582541521,2,1
1582542121,4,0
1582542721,6,0
1582543321,4,0
1582543981,1,0
1582544521,6,0
1582545121,1,0
1582545721,5,0
1582546921,6,0
1582548121,5,1
1582549321,4,0
1582550521,3,0
1582551181,5,0
1582551722,2,0
1582552921,17,0
1582553522,5,0
1582554121,1,0
1582555322,4,1
1582555921,2,0
1582556521,2,0
1582557121,3,0
1582557721,3,0
1582558321,5,0
1582558922,2,0
1582560121,1,0
1582561322,20,0
1582561981,2,0
1582562522,3,0
1582563721,4,0
1582564922,3,0
1582566122,4,0
1582567321,1,0
1582568521,4,0
1582569121,1,0
1582569722,6,0
1582570921,3,0
1582572121,2,0
1582572782,1,0
1582573321,4,1
1582573921,1,0
1582575721,2,1
1582576382,3,0
1582577521,2,0
1582578121,2,0
1582579322,8,0
1582580522,2,0
1582581121,4,0
1582582921,4,0
1582584121,4,0
1582585321,2,0
1582586521,11,0
1582587181,3,0
1582587721,1,0
1582588321,3,0
1582588921,1,0
1582589522,4,0
1582590121,1,0
1582591321,3,0
1582592522,3,0
1582593121,1,0
1582593722,2,0
1582594922,1,2
1582596122,3,0
1582596721,1,0
1582597322,7,0
1582598521,2,0
1582599722,2,0
1582600921,8,0
1582602122,4,0
1582603321,7,0
1582603921,1,0
1582604521,2,0
1582605721,1,0
1582606921,1,0
1582608121,3,0
1582609321,2,0
1582610521,3,0
1582611721,5,0
1582612921,1,0
1582614121,7,0
1582615321,2,1
1582615922,1,0
1582616521,2,0
1582617721,1,0
1582618921,2,2
1582620122,5,0
1582620722,1,0
1582621321,6,0
1582621921,2,0
1582622521,5,0
1582623722,3,0
1582624321,1,0
1582624921,6,0
1582625521,3,0
1582626781,2,0
1582627732,911,234
1582627921,1,0
1582628521,2,0
1582629121,4,0
1582629721,1,0
1582630922,4,0
1582631521,1,0
1582632122,1,0
1582632721,1,0
1582633322,3,0
1582634521,1,0
1582635121,1,0
1582636321,1,0
1582636922,4,0
1582637522,12,0
1582638121,3,0
1582639321,5,0
1582639922,4,0
1582640521,3,0
1582641182,1,0
1582641721,2,0
1582642921,1,0
1582644122,2,0
1582644721,9,0
1582645322,9,0
1582646521,3,0
1582647721,2,0
1582648921,4,1
1582649521,3,0
1582650121,1,0
1582651321,7,0
1582651921,3,0
1582652521,1,0
1582653121,1,0
1582653721,5,0
1582654321,3,0
1582654921,3,0
1582656721,1,0
1582657321,6,0
1582658522,7,0
1582659121,1,0
1582659721,5,0
1582660921,3,0
1582661521,1,0
1582663321,3,0
1582664521,2,0
1582665122,1,0
1582665722,4,0
1582666321,2,0
1582668121,5,0
1582668721,2,0
1582669321,2,0
1582669921,2,0
1582671722,2,0
1582674121,3,0
1582675321,3,0
1582676521,5,0
1582677122,1,0
1582677721,1,0
1582678922,2,0
1582679521,3,0
1582680121,12,0
1582680721,7,0
1582681321,3,0
1582682522,2,0
1582683721,0,1
1582684321,0,1
1582684921,4,0
1582686121,4,0
1582687921,2,0
1582688521,3,0
1582689121,5,0
1582689722,4,0
1582690922,4,0
1582692121,2,0
1582693321,2,0
1582694521,4,0
1582695182,1,1
1582695721,5,0
1582696921,4,0
1582698122,7,0
1582699322,4,0
1582700521,3,0
1582701722,1,0
1582702921,3,0
1582704121,9,0
1582705321,1,0
1582706521,8,0
1582707721,2,0
1582710721,3,0
1582711321,1,0
1582711921,9,0
1582712521,1,0
1582713122,3,0
1582714322,5,1
1582714836,930,292
1582714921,4,0
1582715522,2,0
1582716121,3,0
1582716721,12,0
1582717321,3,0
1582717921,1,0
1582718521,4,0
1582719121,7,0
1582719721,4,0
1582720321,1,0
1582720921,3,0
1582721521,1,0
1582722121,3,0
1582723321,3,0
1582724522,19,0
1582725121,5,0
1582725721,3,0
1582726921,10,0
1582727521,7,0
1582728121,4,0
1582728722,4,0
1582729322,6,0
1582729921,2,0
1582730522,1,1
1582731121,3,1
1582731721,42,0
1582732921,4,0
1582733521,7,0
1582734121,2,0
1582734721,11,0
1582735321,2,0
1582736522,15,0
1582737721,6,0
1582738921,4,0
1582739521,2,0
1582740121,4,0
1582741321,3,0
1582741921,2,0
1582742521,16,0
1582743121,2,0
1582743721,4,0
1582744321,4,0
1582744921,7,0
1582746122,13,0
1582746721,12,0
1582747321,5,0
1582748521,5,0
1582749722,9,0
1582750922,4,0
1582751521,6,0
1582752121,1,0
1582752722,1,0
1582753322,3,0
1582754521,27,0
1582755721,11,0
1582756922,14,0
1582758121,6,0
1582758721,6,0
1582759982,5,0
1582760521,5,0
1582761721,4,0
1582762321,2,0
1582762921,1,0
1582763581,2,0
1582764122,1,2
1582764721,2,0
1582765322,2,0
1582765922,1,0
1582766521,3,0
1582767722,2,0
1582768921,11,0
1582769521,4,0
1582770121,5,0
1582771321,8,0
1582771921,1,0
1582772521,1,0
1582773721,3,0
1582774921,15,0
1582775521,5,2
1582776121,1,0
1582776721,3,0
1582777322,4,0
1582778521,6,0
1582779721,7,0
1582780922,5,1
1582781582,1,0
1582782121,2,0
1582782721,1,0
1582783321,7,0
1582784522,1,0
1582785721,7,0
1582786922,5,0
1582787521,5,0
1582788122,9,0
1582789321,12,1
1582790521,6,0
1582791721,4,0
1582792921,3,1
1582794121,2,0
1582794722,2,0
1582795321,17,0
1582796522,2,0
1582797721,5,0
1582798322,11,0
1582798921,3,0
1582799521,3,0
1582800121,8,1
1582801321,3,1
1582801972,1056,336
1582802522,3,0
1582803721,2,0
1582804321,7,0
1582804921,2,0
1582805522,1,0
1582806121,9,0
1582807321,7,0
1582808521,3,0
1582809121,1,0
1582809721,9,0
1582810922,7,0
1582811521,1,0
1582812122,6,0
1582812721,1,0
1582813321,1,0
1582813921,4,0
1582813982,8,0
1582814522,1,0
1582815121,1,0
1582815721,3,0
1582816322,1,0
1582816922,1,0
1582817522,4,0
1582818121,2,0
1582819321,3,0
1582819922,2,0
1582820521,3,0
1582821721,11,1
1582822322,10,0
1582822921,2,0
1582824121,4,0
1582824721,5,0
1582825321,5,0
1582825921,2,0
1582826521,18,0
1582827122,2,0
1582827721,8,0
1582828321,3,0
1582829522,6,0
1582830121,3,0
1582831322,3,0
1582831921,2,0
1582833122,4,0
1582833721,4,0
1582834321,1,0
1582834921,1,0
1582835521,14,0
1582836121,1,0
1582837321,4,0
1582838521,1,0
1582839121,2,0
1582839722,5,0
1582840921,6,0
1582841521,2,0
1582842121,19,0
1582843321,13,0
1582844521,3,0
1582845721,9,0
1582846321,8,0
1582847521,2,0
1582848122,5,0
1582848721,5,0
1582849321,5,0
1582850521,12,0
1582851721,2,0
1582852921,5,1
1582854121,8,0
1582855321,2,0
1582856521,1,0
1582857722,15,1
1582858921,5,0
1582860121,2,0
1582860721,1,0
1582861321,3,0
1582862521,5,1
1582863721,6,2
1582864922,7,0
1582865521,2,0
1582866121,18,0
1582867321,13,0
1582867921,2,0
1582868522,3,0
1582870321,1,0
1582870922,9,0
1582871581,5,0
1582872122,4,0
1582873322,3,0
1582874522,11,0
1582875722,5,0
1582876922,4,0
1582878121,12,0
1582879322,8,0
1582880521,2,0
1582881721,3,0
1582882922,23,0
1582884122,1,0
1582885981,4,0
1582886521,7,0
1582887122,6,0
1582887721,5,0
1582888321,2,0
1582889079,988,292
1582889522,2,0
1582890121,5,0
1582890721,1,0
1582891321,4,0
1582891921,2,0
1582892522,3,0
1582893121,3,0
1582893721,6,0
1582894322,4,0
1582894921,10,0
1582895522,2,0
1582896721,2,0
1582897922,2,0
1582898522,3,0
1582899721,15,0
1582900921,6,1
1582901521,6,0
1582902122,6,0
1582903322,2,2
1582903922,11,0
1582904522,3,0
1582905721,26,0
1582906921,6,0
1582908122,3,0
1582908721,2,0
1582909322,3,0
1582910522,8,0
1582911121,3,0
1582911721,6,0
1582912321,1,0
1582912922,2,0
1582913522,1,0
1582914121,13,0
1582914721,8,0
1582915321,4,1
1582916521,3,0
1582917121,4,0
1582917721,11,0
1582918321,11,0
1582918922,7,0
1582920121,3,0
1582920721,8,0
1582921321,3,0
1582922522,21,0
1582923121,5,0
1582923721,5,0
1582924921,5,0
1582925521,2,0
1582926121,3,0
1582927321,12,0
1582928522,3,1
1582929121,1,1
1582929721,5,0
1582930322,4,0
1582930921,12,0
1582932121,3,0
1582932721,2,0
1582933321,4,0
1582934521,3,0
1582935121,1,0
1582935722,7,0
1582936321,1,0
1582936921,2,0
1582938122,5,2
1582939321,4,0
1582940522,2,0
1582941721,5,0
1582942921,3,0
1582944121,3,0
1582945321,8,0
1582946522,2,0
1582947721,16,0
1582948922,7,0
1582950121,11,0
1582951322,7,0
1582952521,8,0
1582953721,6,0
1582954921,9,0
1582956121,3,0
1582957321,6,0
1582958522,9,0
1582959721,9,0
1582960921,6,0
1582962122,1,0
1582962722,1,0
1582964521,11,0
1582965721,8,0
1582966921,7,0
1582968122,5,0
1582969321,6,0
1582970522,1,0
1582971721,8,0
1582972321,2,1
1582972921,3,0
1582974122,14,0
1582974722,9,0
1582975321,1,0
