DateTime,AddedIPs,RemovedIPs
1582009229,20,7
1582011128,14,8
1582013296,17,13
1582015210,19,9
1582017151,17,10
1582019047,21,9
1582020968,10,17
1582022907,19,12
1582024804,21,577
1582026724,34,12
1582028665,252,0
1582030565,22,23
1582032483,19,9
1582034429,14,6
1582036327,11,9
1582038502,7,10
1582040407,8,11
1582042342,9,7
1582044245,10,7
1582046169,14,16
1582048104,8,10
1582050005,13,10
1582051924,9,9
1582053862,13,8
1582055763,14,9
1582057684,30,7
1582059620,11,10
1582061530,9,4
1582063463,5,8
1582065366,7,13
1582067545,9,18
1582069451,6,7
1582071370,196,0
1582073304,3,18
1582075206,7,12
1582077125,11,5
1582079062,12,5
1582080967,6,9
1582082885,4,5
1582084830,8,8
1582086730,4,6
1582088897,12,14
1582090810,13,9
1582092748,8,10
1582094648,5,7
1582096572,9,9
1582098503,3,8
1582100407,7,5
1582102325,8,4
1582104251,7,6
1582106166,9,7
1582108102,9,9
1582110014,13,645
1582111953,13,17
1582113851,410,0
1582115768,14,13
1582117711,17,7
1582119611,6,8
1582121533,22,6
1582123462,7,6
1582125371,6,15
1582127288,8,16
1582129289,10,19
1582131129,8,18
1582133044,10,42
1582134979,6,35
1582136887,18,27
1582138812,10,21
1582140745,4,17
1582142909,12,17
1582144811,14,20
1582146980,10,21
1582149138,9,24
1582151046,8,13
1582152978,4,26
1582154884,10,17
1582156833,377,0
1582158730,2,8
1582160898,12,6
1582162810,13,4
1582164744,2,5
1582166646,10,5
1582168583,8,15
1582170490,4,15
1582172419,15,17
1582174326,10,23
1582176247,7,35
1582178178,5,35
1582180085,10,26
1582182007,14,18
1582183942,5,18
1582186108,3,17
1582188010,11,20
1582189932,5,18
1582191861,8,24
1582193777,11,12
1582195690,8,21
1582197625,10,484
1582199532,9,13
1582201451,219,0
1582203379,10,8
1582205287,5,10
1582207215,11,7
1582209142,7,9
1582211057,7,12
1582212970,12,6
1582214903,16,7
1582216809,23,7
1582218728,22,6
1582220659,14,11
1582222581,25,8
1582224488,17,7
1582226409,10,11
1582228325,9,3
1582230261,8,9
1582232164,21,5
1582234084,13,7
1582236020,6,10
1582237931,12,10
1582240095,10,20
1582242011,5,14
1582243942,182,0
1582245846,12,7
1582247769,15,7
1582249707,14,7
1582251605,10,7
1582253527,5,15
1582255459,9,2
1582257367,15,6
1582259296,10,5
1582261207,18,5
1582263133,27,8
1582265064,22,11
1582267215,19,5
1582269145,21,11
1582271051,8,4
1582272969,23,8
1582274904,13,3
1582276805,7,8
1582278727,18,10
1582280661,10,8
1582282577,14,15
1582284485,8,489
1582286407,30,10
1582288331,220,0
1582290497,15,13
1582292409,11,9
1582294344,14,12
1582296257,24,10
1582298166,16,7
1582300104,11,8
1582302006,12,24
1582303926,15,9
1582305859,6,5
1582307766,6,9
1582309684,11,8
1582311625,11,13
1582313529,6,4
1582315694,3,3
1582317608,7,10
1582319545,7,4
1582321449,8,7
1582323368,5,10
1582325304,7,9
1582327205,5,8
1582329124,10,11
1582331071,186,0
1582332967,6,12
1582334884,6,6
1582336820,3,12
1582338728,6,7
1582340898,7,10
1582342813,8,5
1582344742,5,21
1582346654,4,12
1582348570,3,6
1582350508,12,5
1582352409,13,8
1582354330,9,10
1582356258,5,7
1582358170,13,3
1582360084,3,7
1582362026,14,8
1582363928,5,6
1582366114,10,8
1582368008,8,10
1582369937,6,613
1582371858,19,19
1582374037,357,0
1582375926,28,10
1582377850,12,10
1582379776,18,17
1582381690,14,7
1582383619,8,8
1582385545,12,11
1582387450,8,18
1582389370,9,11
1582391309,8,32
1582393211,13,20
1582395130,4,23
1582397067,9,13
1582398967,17,20
1582400894,12,8
1582402821,14,27
1582404728,13,11
1582406645,11,10
1582408580,15,18
1582410485,7,11
1582412417,21,12
1582414327,9,15
1582416258,321,0
1582418179,14,8
1582420101,11,11
1582422008,7,13
1582423950,41,13
1582425846,16,5
1582427776,7,8
1582429703,7,9
1582431614,10,16
1582433524,5,17
1582435464,11,26
1582437366,6,25
1582439289,6,17
1582441220,5,18
1582443131,2,11
1582445050,6,19
1582446984,11,15
1582448895,11,12
