DateTime,AddedIPs,RemovedIPs
1580772601,163,0
1580776202,134,2628
1580783402,338,0
1580787002,101,0
1580790602,125,0
1580794202,106,0
1580797802,131,0
1580801402,128,0
1580805901,180,0
1580809501,150,0
1580816701,271,0
1580821202,158,0
1580824801,137,0
1580828402,176,0
1580832002,138,0
1580835602,167,0
1580839202,251,0
1580842802,120,0
1580846402,118,0
1580850002,137,0
1580853602,105,0
1580857202,142,0
1580861702,129,3317
1580865302,113,0
1580872502,263,0
1580876102,106,0
1580879702,100,0
1580883302,120,0
1580886901,115,0
1580890502,112,0
1580895002,136,0
1580898602,122,0
1580902202,143,0
1580905802,116,0
1580913002,308,0
1580916601,157,0
1580920201,125,0
1580923802,179,0
1580927402,129,0
1580931002,132,0
1580934602,126,0
1580938202,100,0
1580941801,138,0
1580945401,102,0
1580949902,106,3423
1580953502,134,0
1580957101,136,0
1580960701,150,0
1580964301,116,0
1580971502,264,0
1580975101,140,0
1580978702,138,0
1580982301,134,0
1580985902,155,0
1580989502,186,0
1580993101,186,0
1580996702,175,0
1581003901,312,0
1581007501,148,0
1581012002,217,0
1581015602,121,0
1581019202,128,0
1581022802,117,0
1581026401,128,0
1581030002,121,0
1581033602,113,3046
1581037202,151,0
1581040802,143,0
1581044402,168,0
1581048001,128,0
1581051602,117,0
1581056101,171,0
1581059702,149,0
1581063302,131,0
1581066902,199,0
1581074102,326,0
1581077702,145,0
1581084902,323,0
1581089402,159,0
1581093002,111,0
1581096601,124,0
1581100202,121,0
1581103802,101,0
1581111002,214,0
1581118202,202,0
1581121802,76,3222
1581125402,88,0
1581129002,126,0
1581132602,111,0
1581136201,118,0
1581143402,178,0
1581147901,117,0
1581151501,110,0
1581155102,108,0
1581158702,124,0
1581162302,110,0
1581165902,114,0
1581169502,126,0
1581176701,254,0
1581180301,103,0
1581187501,238,0
1581192002,112,1
1581195602,99,0
1581196501,19,0
1581200102,85,0
1581204601,104,0
1581208202,84,3405
1581211801,106,0
1581219001,237,0
1581222601,123,0
1581226202,120,0
1581229802,109,0
1581233402,104,0
1581237001,91,0
1581241502,141,0
1581245102,93,0
1581248702,100,0
1581252302,107,0
1581255902,86,0
1581259502,93,0
1581266701,212,0
1581270302,105,0
1581273902,91,0
1581277501,122,0
1581284702,202,0
1581289202,127,0
1581292802,101,2607
1581296402,110,0
1581300002,152,0
1581303602,194,0
1581307201,108,0
1581310802,139,0
1581318001,201,0
1581321602,144,0
1581325202,144,0
1581329701,200,0
1581333302,191,0
1581336902,135,0
1581340502,139,0
1581344101,190,0
1581347701,161,0
1581354902,215,0
1581358501,119,0
1581365702,243,0
1581369301,157,0
1581373802,207,0
1581377401,131,0
1581381002,119,2423
1581384602,128,0
1581388201,169,0
1581391801,125,0
1581395402,131,0
1581399001,146,0
1581403502,192,0
1581407101,151,0
1581410702,114,0
1581414302,143,0
1581417902,136,0
1581425102,308,0
1581428702,156,0
1581435901,253,0
1581439501,153,0
1581446702,278,0
1581451202,150,0
1581454802,112,0
1581458402,89,0
1581462001,82,0
1581465602,81,3299
1581472802,230,0
1581476402,117,0
1581480002,144,0
1581483602,126,0
1581490802,318,0
1581494402,166,0
1581498002,160,0
1581505202,374,0
1581508802,166,0
1581512402,140,0
1581519602,343,0
1581524102,146,0
1581527701,93,0
1581531302,97,0
1581538501,189,0
1581542101,91,0
1581545702,99,0
1581549302,101,0
1581556502,195,3013
1581563702,243,0
1581565501,58,0
1581569102,124,0
1581576302,300,0
1581580802,194,0
1581584402,160,0
1581588002,145,2
1581591602,179,0
1581598802,275,0
1581602402,209,0
1581609602,284,0
1581613202,108,0
1581616802,90,0
1581621302,141,0
1581628502,179,0
1581632102,93,0
1581639302,171,3283
1581643801,138,0
1581647401,121,0
1581651002,108,0
1581654602,100,0
1581658202,138,0
1581662701,163,0
1581666302,117,0
1581673502,299,0
1581677102,134,0
1581684302,274,0
1581687902,160,0
1581696002,241,0
1581699602,119,0
1581703202,108,0
1581706802,105,0
1581710402,104,0
1581714002,95,0
1581717602,91,0
1581721202,88,0
1581724802,93,3074
1581728402,109,0
1581732002,133,0
1581735602,137,0
1581739202,113,0
1581742802,85,0
1581747302,165,0
1581750901,143,0
1581758102,219,0
1581765301,232,0
1581768901,145,0
1581772502,138,0
1581776102,139,0
1581779702,135,0
1581786901,360,0
1581791402,127,0
1581795001,97,0
1581802202,198,0
1581805802,133,0
1581809402,92,0
1581813002,82,2769
1581820202,287,0
1581824702,152,0
1581828302,93,0
1581831902,75,0
1581835501,128,0
1581842702,191,0
1581846302,98,0
1581853502,192,0
1581857102,102,0
1581861602,95,0
1581865202,109,0
1581868802,107,0
1581872402,88,0
1581876002,90,0
1581879602,83,0
1581883201,105,0
1581890402,210,0
1581894003,87,0
1581901201,165,2974
1581904801,135,0
1581909301,139,0
1581916502,274,0
1581920102,143,0
1581923701,129,0
1581928202,199,0
1581931802,162,0
1581939002,311,0
1581942602,137,0
1581946202,184,0
1581949803,230,0
1581954302,258,0
1581961502,304,0
1581965102,161,0
1581968702,194,0
1581972301,202,0
1581975902,317,0
1581979502,272,0
1581987602,382,2319
1581991202,202,0
1581994803,162,0
1581998402,137,0
1582001101,107,0
1582004706,112,0
1582012802,380,0
1582016402,202,0
1582020002,203,0
1582023602,204,0
1582027202,162,0
1582030802,179,0
1582034402,157,0
1582038002,183,0
1582041602,201,0
1582045202,148,0
1582048802,146,0
1582052403,132,0
1582056002,169,0
1582063202,261,0
1582066803,113,0
1582071301,120,3478
1582074901,155,0
1582078502,179,0
1582083002,181,0
1582086601,128,0
1582093802,293,0
1582101002,312,0
1582108202,338,0
1582115401,412,0
1582122602,376,0
1582129802,308,0
1582137001,268,0
1582140601,123,0
1582144202,102,0
1582147801,109,0
1582155002,218,0
1582158602,103,3785
1582163102,180,0
1582166702,149,0
1582170302,106,0
1582173902,122,0
1582177502,153,0
1582181102,176,0
1582184702,204,0
1582191902,298,0
1582199101,320,0
1582206302,276,0
1582213502,330,0
1582220701,342,0
1582224302,145,0
1582227902,173,0
1582231502,150,0
1582238702,217,0
1582242301,113,0
1582250402,197,3706
1582254002,106,0
1582257602,162,0
1582261202,121,0
1582264802,162,0
1582268403,159,0
1582272002,198,0
1582279202,387,0
1582286402,262,0
1582290002,126,0
1582294502,199,0
1582298102,187,0
1582301702,143,0
1582305302,145,0
1582312502,246,0
1582316102,147,0
1582319702,132,0
1582323302,127,0
1582330501,232,3599
1582334101,127,0
1582338601,183,0
1582342202,126,0
1582345802,137,0
1582350301,173,0
1582353902,154,0
1582357501,138,0
1582364702,412,0
1582368302,135,0
1582375502,273,0
1582380002,154,0
1582383602,166,0
1582387202,123,0
1582390802,112,0
1582394402,110,0
1582398002,120,0
1582401602,113,0
1582408802,314,0
1582412402,94,0
1582419602,207,3341
1582423202,136,0
1582427701,161,0
1582431302,115,0
1582434902,144,0
1582439402,143,0
1582446601,240,0
1582450202,132,0
1582453802,105,0
1582457402,102,0
1582461002,127,0
1582464602,101,0
1582471802,265,0
1582475401,104,0
1582479902,157,0
1582483502,91,0
1582490702,196,0
1582497901,210,0
1582505102,189,3199
1582508702,141,0
1582512301,129,0
1582515902,132,0
1582524002,271,0
1582527602,162,0
1582531202,149,0
1582534802,147,0
1582538402,122,0
1582542002,155,0
1582549202,342,0
1582556402,357,0
1582560001,195,0
1582563602,185,0
1582567202,170,0
1582575301,366,0
1582578902,161,0
1582582502,129,0
1582586102,131,0
1582589702,129,2835
1582593302,143,0
1582596901,174,0
1582600502,143,0
1582605002,179,0
1582608602,151,0
1582612202,179,0
1582615802,166,0
1582619402,171,0
1582626602,272,0
1582631102,185,0
1582638302,287,0
1582641901,127,0
1582649101,272,0
1582653601,226,0
1582657202,163,0
1582660802,374,1
1582664402,142,0
1582671602,252,0
1582675202,121,3502
1582678802,144,0
1582682401,164,0
1582686003,170,0
1582689601,147,0
1582693202,153,0
1582701302,431,0
1582708502,349,0
1582715701,327,0
1582719301,177,0
1582722902,169,0
1582726502,216,0
1582731002,180,0
1582734602,131,0
1582738202,167,0
1582741802,132,0
1582749002,232,0
1582752602,113,0
1582756202,102,0
1582759802,127,0
1582763402,116,3672
1582767002,164,0
1582774201,335,0
1582778702,173,0
1582785902,289,0
1582789501,181,0
1582793102,214,0
1582796702,185,0
1582800301,189,0
1582803902,247,0
1582811102,433,0
1582815602,530,0
1582819202,184,0
1582822802,198,0
1582826402,141,0
1582830002,136,0
1582833602,131,0
1582837202,143,0
1582840802,120,0
1582844402,149,0
1582851602,237,3652
1582858802,374,0
1582862402,147,0
1582866902,181,0
1582870501,223,0
1582874102,198,0
1582877702,163,0
1582881302,261,0
1582885802,245,0
1582889401,167,0
1582893902,202,0
1582897501,159,0
1582901101,148,0
1582904702,127,0
1582911902,252,0
1582915502,126,0
1582923601,315,0
1582927202,135,0
1582930802,144,0
1582934402,114,4266
1582938002,142,0
1582941602,122,0
1582945202,151,0
1582948802,151,0
1582952402,137,0
1582956001,139,0
1582959602,145,0
1582963202,133,0
1582966802,132,0
1582974902,336,2
